0	4.28	0.92
4	4.37	1.01
20	4.75	0.99
40	5.23	0.99
60	5.70	1.08
100	6.64	1.06
120	7.11	1.20
140	7.59	0.50
160	8.06	0.70
180	8.53	0.94
200	9.00	0.99
220	9.48	0.75
240	9.95	0.84
250	10.19	0.89
260	10.42	0.93
280	10.89	0.79
300	11.37	0.68
390	13.49	0.43
400	13.73	0.81
408	13.92	0.68
410	13.96	0.73
412	14.01	0.48
416	14.11	0.82
424	14.30	0.65
428	14.39	0.70
430	14.44	0.35
448	14.89	0.44
464	15.31	0.04
488	15.96	0.11
590	18.69	0.23
600	18.96	0.22
604	19.06	0.27
612	19.28	0.12
620	19.49	0.23
624	19.60	0.27
632	19.81	0.23
636	19.92	0.23
700	21.25	0.12
708	21.42	0.17
712	21.50	0.17
810	23.49	0.16
820	23.69	-0.06
828	23.86	0.08
832	23.94	0.01
860	24.51	0.38
892	25.16	0.16
900	25.32	-0.22
940	26.13	0.21
952	26.38	0.30
960	26.54	0.27
1000	27.35	0.23
1040	28.41	0.25
1048	28.68	0.08
1052	28.81	0.14
1056	28.94	0.11
1064	29.17	0.35
1104	30.32	0.04
1116	30.66	0.11
1120	30.77	0.33
1136	31.23	0.11
1152	31.69	0.20
1156	31.80	0.40
1160	31.92	0.62
1196	33.02	0.56
1200	33.16	0.21
1204	33.29	0.59
1208	33.43	0.34
1216	33.69	0.37
1220	33.82	0.73
1224	33.95	0.58
1232	34.20	0.59
1248	34.71	0.45
1250	34.77	0.71
1260	35.09	0.49
1264	35.22	0.37
1270	35.40	0.16
1272	35.47	0.21
1288	36.12	0.63
1300	36.61	0.51
1304	36.78	0.59
1308	36.94	0.52
1312	37.10	0.25
1316	37.27	0.64
1320	37.43	0.62
1324	37.60	0.45
1328	37.76	0.68
1340	38.24	0.71
1364	39.00	0.04
1376	39.38	0.03
1400	40.14	0.34
1416	40.64	0.36
1428	41.02	0.48
1432	41.14	0.47
1464	42.41	0.48
1468	42.59	0.60
1472	42.76	0.68
1476	42.93	0.62
1480	43.11	0.69
1484	43.28	0.42
1492	43.66	0.37
1504	44.25	0.51
1508	44.44	0.41
1512	44.64	0.63
1516	44.83	0.56
1528	45.42	0.69
1532	45.62	0.66
1536	45.81	0.78
1544	46.20	0.76
1552	46.59	0.07
1572	47.46	-0.04
1584	47.95	0.24
1588	48.11	0.19
1604	48.77	0.62
1608	48.93	0.42
1612	49.09	0.55
1616	49.26	0.57
1624	49.79	0.52
1636	50.66	0.53
1640	50.95	0.47
1644	51.24	0.68
1648	51.53	0.67
1652	51.82	0.73
1656	52.11	0.63
1660	52.40	0.56
1664	52.69	0.81
1696	54.83	0.36
1700	55.05	0.24
1708	55.49	0.40
1720	56.16	-0.07
1727	56.55	0.45
1730	56.72	0.48
1733	56.88	0.50
1736	57.05	0.70
1740	57.27	0.55
1744	57.49	0.60
1747	57.66	0.50
1750	57.83	0.48
1753	57.99	0.58
1757	58.22	0.36
1760	58.36	0.36
1764	58.55	0.39
1768	58.74	0.20
1780	59.30	0.13
1806	60.52	-0.17
1827	61.50	-0.31
1864	63.23	-0.06
1872	63.61	0.20
1950	68.39	-0.05
1953	68.58	0.26
1970	69.83	0.46
2003	73.38	0.37
2011	74.06	0.56
2014	74.32	0.73
2017	74.57	0.65
2020	74.83	0.94
2023	75.08	0.73
2027	75.43	0.81
2033	75.92	0.57
2037	76.13	0.35
2047	76.67	0.40
2050	76.83	0.40
2056	77.15	0.81
2060	77.49	0.57
2063	77.79	0.79
2067	78.20	0.83
2070	78.50	0.75
2073	78.80	0.84
2077	79.21	0.53
2080	79.51	0.67
2087	80.22	0.76
2090	80.53	0.79
2093	80.83	0.81
2097	81.24	0.66
2100	81.54	0.59
2103	81.84	0.78
2107	82.25	0.63
2113	82.86	0.81
2117	83.26	0.78
2120	83.56	0.79
2123	83.87	0.78
2127	84.21	0.48
2130	84.37	0.53
2133	84.53	0.43
2137	84.74	0.12
2147	85.27	0.28
2150	85.43	0.02
2173	86.65	0.05
2183	87.17	0.45
2190	87.78	0.66
2193	88.07	0.60
2203	89.01	0.52
2207	89.39	0.65
2210	89.68	0.88
2217	90.34	0.79
