0.025	0.33
0.045	NAN
0.065	0.12
0.085	0.41
0.085	0.39
0.105	NAN
0.125	0.28
0.145	NAN
0.165	0.25
0.185	0.24
0.185	NAN
0.205	0.25
0.205	NAN
0.225	NAN
0.245	-0.03
0.265	-0.17
0.285	-0.02
0.305	-0.28
0.325	0.08
0.345	-0.04
0.345	-0.04
0.365	-0.14
0.385	NAN
0.405	-0.05
0.425	-0.18
0.445	-0.06
0.445	-0.03
0.465	0.01
0.465	NAN
0.465	NAN
0.485	-0.04
0.485	NAN
0.485	NAN
0.505	-0.03
0.525	0.00
0.545	0.07
0.565	0.02
0.585	0.04
0.605	0.09
0.605	NAN
0.605	NAN
0.645	0.16
0.645	NAN
0.645	NAN
0.645	NAN
0.685	0.14
0.685	0.07
0.725	0.02
0.765	0.16
0.805	0.06
0.845	0.28
0.845	0.17
0.885	0.09
0.885	NAN
0.885	NAN
0.925	0.10
0.965	0.29
0.965	0.15
1.005	-0.03
