core_p	age_p	d13_p	dep_p	lat_p	lon_p	count	range
BT4	6.9677	0.33	1000.0	-4.0	10.0	1	no
CH69_K09	5.432666666666667	0.8046666666666666	4100.0	41.75	-47.34999999999999	30	no
CH73-139	4.7421927358490565	0.72	2209.0	54.63	343.65	4	no
CHN82-24	6.063950364963505	1.09	3427.0	41.72	327.15	5	no
DSDP552	7.753304452054797	1.29	2311.0	56.04	336.78	1	no
EN066-10	4.771719047619048	0.8233333333333334	3527.0	6.64	338.1	3	no
EN066-16	5.525665935672515	0.8333333333333334	3160.0	5.45	338.86	3	no
EN066-21	4.343115068493151	0.83	3792.0	4.23	339.37	1	no
EN066-26	4.819945454545454	0.6799999999999999	4745.0	3.09	339.98	2	no
EN066-29	3.7045363636363633	0.7233333333333333	5105.0	2.46	340.24	3	no
EN066-32	4.5170086757990875	0.89	4998.0	2.47	340.27	3	no
EN066-36	4.499600519681557	0.6825	4095.0	4.31	339.79	4	no
EN066-38	3.442313636363636	1.11	2937.0	4.92	339.5	3	no
EN066-44	4.2991	1.045	3423.0	5.26	338.29	2	no
EW9209-1JPC	5.068980856870835	0.686	4056.0	5.91	315.8	5	no
GEOB1028-5	4.875	0.64	2209.0	-20.1	9.19	4	no
GEOB2109-1	6.666666666499999	1.23	2504.0	-27.91	-45.88	2	no
GEOB4403-2	5.19827586225	0.61375	4503.0	6.130000000000001	-43.44	8	no
GIK11944-2	5.17578187767681	1.225	1765.0	35.65	351.94	2	no
GIK12328-5	4.688230916254241	0.8885714285714287	2778.0	21.150000000000002	341.42999999999995	7	no
GIK12347-2	5.301654389814883	0.8785714285714287	2576.0	15.83	342.13999999999993	7	no
GIK12379-3	4.660568529222865	0.9583333333333331	2136.0	23.139999999999997	342.25	12	no
GIK12392-1	5.243535666214423	1.0166666666666666	2573.0	25.17	343.15000000000003	9	no
GIK13519-1	6.002023809523811	1.07	2862.0	5.67	340.15	1	no
GIK15612-2	4.172386409736308	1.115	3050.0	44.36	333.46	2	no
