core_p	age_p	d13_p	dep_p	lat_p	lon_p	count	range
CH69_K09	5.432666666666667	0.8046666666666666	4100.0	41.75	-47.34999999999999	30	no
CH73-139	125.6035823899371	0.88	2209.0	54.63	343.65	1	no
EW9209-1JPC	124.12578664921466	0.9066666666666666	4056.0	5.91	315.8	3	no
GEOB1028-5	4.875	0.64	2209.0	-20.1	9.19	4	no
GEOB2109-1	6.666666666499999	1.23	2504.0	-27.91	-45.88	2	no
GEOB4403-2	5.19827586225	0.61375	4503.0	6.130000000000001	-43.44	8	no
GIK12392-1	124.7433625	0.8300000000000001	2573.0	25.17	343.1499999999999	3	no
GIK13519-1	122.96394901185771	0.93	2862.0	5.67	340.15	1	no
GIK15669	122.75890000000003	1.01	2022.0	34.89	352.18	1	no
GIK16004	124.4216799998839	0.895	1512.0	29.98	349.35	2	no
GIK16402	122.6778263982103	0.89	4202.0	14.42	339.46	1	no
GIK16867	124.38707458033574	0.62	3891.0	-2.2	5.1	2	no
GIK17049-6	124.26224202898551	0.76	3331.0	55.26	333.27	1	no
GIK23414-9	124.02796660857933	1.0699999999999998	2196.0	53.54	339.71	2	no
GIK23415-9	124.28341501482909	0.9533333333333335	2472.0	53.18	340.85	3	no
GIK23416-4	123.95605668292684	0.62	3616.0	51.57	340.0	1	no
GeoB1034	123.19281724137929	0.51	3772.0	-21.74	5.42	1	no
GeoB1035	126.57295576923077	-0.03	4453.0	-21.59	5.03	1	no
GeoB1041	124.56395639269405	0.6	4033.0	-3.48	352.4	1	no
GeoB1101	122.21954354066986	0.69	4588.0	1.66	349.02	1	no
GeoB1105	124.38031491745787	0.675	3225.0	-1.67	347.57	2	no
GeoB1112	122.9292333333333	0.88	3125.0	-5.78	349.25	1	no
GeoB1115	124.47757591973244	0.7	2945.0	-3.56	347.44	1	no
GeoB1117	124.96252722794992	0.58	3984.0	-3.82	345.1	2	no
GeoB1118	124.39086156015037	0.14500000000000002	4675.0	-3.56	343.57	2	no
GeoB1211	124.45265	0.39	4084.0	-24.48	7.53	1	no
GeoB1214	122.8415126984127	0.42	3210.0	-24.69	7.24	1	no
GeoB1710	125.04557301808067	0.3433333333333333	2987.0	-23.429999999999996	11.699999999999998	3	no
GeoB4216	124.228923441525	0.8099999999999999	2324.0	30.63	347.6000000000001	3	no
IODP-U1308	124.44766499465443	0.8347058823529412	3883.0	49.88	335.7600000000001	17	no
KNR140-37JPC	4.965026307666666	0.6572222222222222	3000.0	31.41415	-75.25807000000002	18	no
MD02-2588	124.61700189260564	-0.05374999999999999	2907.0	-41.2	25.5	16	no
MD95_2042	5.70875	0.9687500000000001	3146.0	37.799833	-10.1665	8	no
MD96-2080	5.294117647	0.7949999999999999	2488.0	-36.2667	19.475	2	no
ODP1087	123.67091265135447	0.16	1372.0	-31.46	15.31	2	no
ODP1089	124.69379562354781	-0.064	4621.0	-40.94	9.89	10	no
ODP664	122.53578775510204	0.94	3806.0	0.11	336.77	1	no
ODP925	122.3441244897959	0.45	3040.0	4.2	316.51	1	no
ODP926	126.31220977443608	0.97	3598.0	3.72	317.09000000000003	2	no
ODP980	125.10012775693923	0.91	2168.0	55.49	345.3	1	no
ODP983	123.58380899516146	0.755	1984.0	60.4	336.36	4	no
ODP984	124.92656028368795	0.51	1650.0	61.0	336.0	1	no
PS2082	126.0839722222222	-0.24	4610.0	-43.22	11.74	1	no
PS2495	125.76169864864865	0.61	3134.0	-41.28	345.51	1	no
PS2498	124.35201550387598	0.26	3783.0	-44.15	345.77	1	no
RC13-228	124.12639999999999	0.4633333333333333	3204.0	-22.33	11.199999999999998	3	no
SU90-03	125.03634908942081	1.0	2475.0	40.050000000000004	328.0	10	no
SU90-11	124.214725113582	0.94	3645.0	44.07	319.98	2	no
SU90-39	124.32288420432356	0.6914285714285715	3955.0	52.5	338.0	7	no
U1308	4.870666666666667	0.9533333333333331	3871.0	49.877759999999995	-24.238110000000002	15	no
V22-174	124.3461911290322	0.9099999999999999	2630.0	-10.07	347.18	2	no
V28-127	124.01584200294717	0.661	3237.0	11.65	279.87	3	no
V29-135	125.50543491379311	0.34	2675.0	-19.7	8.88	1	no
V29-202	124.98899578616354	0.8140000000000001	2658.0	61.0	339.0	5	no
