lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
5.0,23.14,-17.75,2136.0,1.01,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,53.18,-19.15,2472.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,52.55,-20.33,2841.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,54.96,-19.76,1487.0,1.31,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,28.89,-13.23,1358.0,1.04,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,20.75,-18.58,2278.0,1.06,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,14.5,-17.95,2384.0,0.98,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,-27.51,-46.47,1268.0,1.216,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,55.48,-14.68,2161.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,55.49,-14.7,2168.0,0.89,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,60.4,-23.64,1984.0,0.84,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.0,61.0,-21.0,2658.0,1.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,54.63,-16.35,2209.0,0.76,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,23.14,-17.75,2136.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,34.89,-7.82,2022.0,1.15,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,21.24,-18.06,1516.0,0.85,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,53.18,-19.15,2472.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,64.8,-29.6,1893.0,1.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,-22.92,6.04,2505.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,14.5,-17.95,2384.0,1.02,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,12.09,-61.24,1299.0,1.3,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,55.49,-14.7,2168.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.25,-26.95,-44.67,2069.0,1.311,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,-20.1,9.19,2209.0,0.73,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,56.16,-31.99,2295.0,1.16,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,53.54,-20.29,2196.0,1.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,64.8,-29.6,1893.0,1.19,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,20.75,-18.58,2278.0,0.95,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,14.5,-17.95,2384.0,0.98,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,37.58,-31.84,2690.0,0.79,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,-27.51,-46.47,1268.0,1.088,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,12.09,-61.24,1299.0,1.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,40.58,-9.86,2465.0,0.99,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,55.49,-14.7,2168.0,0.92,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,60.4,-23.64,1984.0,0.86,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.5,61.0,-21.0,2658.0,0.87,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,4.92,-20.5,2937.0,1.24,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,15.83,-17.86,2576.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,56.16,-31.99,2295.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,52.55,-20.33,2841.0,1.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,64.8,-29.6,1893.0,1.28,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,20.75,-18.58,2278.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,14.5,-17.95,2384.0,0.86,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,4.34,-43.49,2816.0,1.01,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
5.75,60.4,-23.64,1984.0,1.22,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,-27.91,-45.88,2504.0,1.15,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,25.17,-16.85,2573.0,0.99,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,5.67,-19.85,2862.0,1.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,34.86,-8.13,2460.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,53.18,-19.15,2472.0,1.16,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,54.96,-19.76,1487.0,1.3,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,64.8,-29.6,1893.0,1.06,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,-23.43,11.7,2987.0,0.52,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,14.5,-17.95,2384.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,-27.51,-46.47,1268.0,1.1420000000000001,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,12.09,-61.24,1299.0,1.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,55.49,-14.7,2168.0,1.0175,4.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,57.51,-15.85,1134.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,60.4,-23.64,1984.0,1.22,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,40.05,-32.0,2475.0,1.32,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.0,61.0,-21.0,2658.0,0.995,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,35.65,-8.06,1765.0,1.22,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,21.15,-18.57,2778.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,15.83,-17.86,2576.0,0.94,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,29.98,-10.65,1512.0,1.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,56.16,-31.99,2295.0,0.94,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,64.8,-29.6,1893.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,20.75,-18.58,2278.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,14.5,-17.95,2384.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,12.09,-61.24,1299.0,1.09,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,55.49,-14.7,2168.0,1.0025,4.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,60.4,-23.64,1984.0,0.92,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,-26.7,-43.33,2438.0,1.3019999999999998,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.25,54.25,-16.83,2393.0,0.98,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,23.14,-17.75,2136.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,56.16,-31.99,2295.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,53.18,-19.15,2472.0,1.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,64.8,-29.6,1893.0,1.16,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,14.5,-17.95,2384.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,40.58,-9.86,2465.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,55.48,-14.68,2161.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
