Core,lower,Lat,Lon,Ocean_depth,d13C,count,regions
BT4,6.0,-4.0,10.0,1000.0,0.33,1.0,SEA
CH69_K09,2.0,41.75,-47.35,4100.0,0.884,5.0,NWA
CH69_K09,3.0,41.75,-47.35,4100.0,0.515,2.0,NWA
CH69_K09,4.0,41.75,-47.35,4100.0,0.8275000000000001,4.0,NWA
CH69_K09,5.0,41.75,-47.35,4100.0,0.9216666666666665,6.0,NWA
CH69_K09,6.0,41.75,-47.35,4100.0,0.8560000000000001,5.0,NWA
CH69_K09,7.0,41.75,-47.35,4100.0,0.69625,8.0,NWA
CHN82-24,3.0,41.72,-32.85,3427.0,0.85,1.0,NEA
CHN82-24,4.0,41.72,-32.85,3427.0,0.9950000000000001,,NEA
CHN82-24,5.0,41.72,-32.85,3427.0,1.1400000000000001,2.0,NEA
CHN82-24,6.0,41.72,-32.85,3427.0,1.1500000000000001,,NEA
CHN82-24,7.0,41.72,-32.85,3427.0,1.1600000000000001,2.0,NEA
EN066-10,2.0,6.64,-21.9,3527.0,0.82,1.0,NEA
EN066-10,3.0,6.64,-21.9,3527.0,0.81,,NEA
EN066-10,4.0,6.64,-21.9,3527.0,0.8,1.0,NEA
EN066-10,5.0,6.64,-21.9,3527.0,0.8166666666666667,,NEA
EN066-10,6.0,6.64,-21.9,3527.0,0.8333333333333334,,NEA
EN066-10,7.0,6.64,-21.9,3527.0,0.85,1.0,NEA
EN066-21,4.0,4.23,-20.63,3792.0,0.83,1.0,NEA
EN066-29,2.0,2.46,-19.76,5105.0,0.845,2.0,NEA
EN066-29,3.0,2.46,-19.76,5105.0,0.7537499999999999,,NEA
EN066-29,4.0,2.46,-19.76,5105.0,0.6625,,NEA
EN066-29,5.0,2.46,-19.76,5105.0,0.57125,,NEA
EN066-29,6.0,2.46,-19.76,5105.0,0.48,1.0,NEA
EN066-32,2.0,2.47,-19.73,4998.0,0.86,1.0,NEA
EN066-32,3.0,2.47,-19.73,4998.0,0.885,,NEA
EN066-32,4.0,2.47,-19.73,4998.0,0.91,1.0,NEA
EN066-32,5.0,2.47,-19.73,4998.0,0.905,,NEA
EN066-32,6.0,2.47,-19.73,4998.0,0.9,1.0,NEA
EN066-38,2.0,4.92,-20.5,2937.0,1.045,2.0,NEA
EN066-38,3.0,4.92,-20.5,2937.0,1.1099999999999999,,NEA
EN066-38,4.0,4.92,-20.5,2937.0,1.175,,NEA
EN066-38,5.0,4.92,-20.5,2937.0,1.24,1.0,NEA
GEOB1028-5,3.0,-20.1,9.19,2209.0,0.54,1.0,SEA
GEOB1028-5,4.0,-20.1,9.19,2209.0,0.71,1.0,SEA
GEOB1028-5,5.0,-20.1,9.19,2209.0,0.73,1.0,SEA
GEOB1028-5,6.0,-20.1,9.19,2209.0,0.58,1.0,SEA
GEOB2109-1,6.0,-27.91,-45.88,2504.0,1.15,1.0,SWA
GEOB2109-1,7.0,-27.91,-45.88,2504.0,1.31,1.0,SWA
GEOB4403-2,2.0,6.13,-43.44,4503.0,0.42,1.0,NWA
GEOB4403-2,3.0,6.13,-43.44,4503.0,0.7,1.0,NWA
GEOB4403-2,4.0,6.13,-43.44,4503.0,0.8800000000000001,2.0,NWA
GEOB4403-2,5.0,6.13,-43.44,4503.0,0.38,1.0,NWA
GEOB4403-2,6.0,6.13,-43.44,4503.0,0.54,1.0,NWA
GEOB4403-2,7.0,6.13,-43.44,4503.0,0.5549999999999999,2.0,NWA
GIK15612-2,2.0,44.36,-26.54,3050.0,0.98,1.0,NEA
GIK15612-2,3.0,44.36,-26.54,3050.0,1.07,,NEA
GIK15612-2,4.0,44.36,-26.54,3050.0,1.16,,NEA
GIK15612-2,5.0,44.36,-26.54,3050.0,1.25,1.0,NEA
GIK15669,3.0,34.89,-7.82,2022.0,1.13,1.0,NEA
GIK15669,4.0,34.89,-7.82,2022.0,1.14,,NEA
GIK15669,5.0,34.89,-7.82,2022.0,1.15,1.0,NEA
GIK15669,6.0,34.89,-7.82,2022.0,1.09,1.0,NEA
GIK17051,3.0,56.16,-31.99,2295.0,1.04,1.0,NEA
GIK17051,4.0,56.16,-31.99,2295.0,1.0,1.0,NEA
GIK17051,5.0,56.16,-31.99,2295.0,1.035,2.0,NEA
GIK17051,6.0,56.16,-31.99,2295.0,0.7599999999999999,3.0,NEA
GIK17051,7.0,56.16,-31.99,2295.0,0.8133333333333335,3.0,NEA
GIK17055-1,4.0,48.22,-27.06,2558.0,1.32,2.0,NEA
GIK23417-1,2.0,50.67,-19.43,3850.0,0.81,2.0,NEA
GIK23417-1,3.0,50.67,-19.43,3850.0,0.92,1.0,NEA
GIK23417-1,4.0,50.67,-19.43,3850.0,0.89,2.0,NEA
GIK23417-1,5.0,50.67,-19.43,3850.0,0.815,2.0,NEA
GIK23417-1,6.0,50.67,-19.43,3850.0,0.8200000000000001,2.0,NEA
GIK23417-1,7.0,50.67,-19.43,3850.0,0.68,1.0,NEA
GeoB1032,2.0,-22.92,6.04,2505.0,0.85,1.0,SEA
GeoB1032,3.0,-22.92,6.04,2505.0,0.8866666666666666,,SEA
GeoB1032,4.0,-22.92,6.04,2505.0,0.9233333333333333,,SEA
GeoB1032,5.0,-22.92,6.04,2505.0,0.96,1.0,SEA
GeoB1032,6.0,-22.92,6.04,2505.0,0.9299999999999999,,SEA
GeoB1032,7.0,-22.92,6.04,2505.0,0.9,1.0,SEA
GeoB4240,2.0,28.89,-13.23,1358.0,1.04,1.0,NEA
GeoB4240,3.0,28.89,-13.23,1358.0,1.0350000000000001,,NEA
GeoB4240,4.0,28.89,-13.23,1358.0,1.03,1.0,NEA
GeoB4240,5.0,28.89,-13.23,1358.0,1.04,1.0,NEA
GeoB4240,6.0,28.89,-13.23,1358.0,0.96,,NEA
GeoB4240,7.0,28.89,-13.23,1358.0,0.88,1.0,NEA
GeoB7920-2,2.0,20.75,-18.58,2278.0,0.8733333333333334,3.0,NEA
GeoB7920-2,3.0,20.75,-18.58,2278.0,0.88,3.0,NEA
GeoB7920-2,4.0,20.75,-18.58,2278.0,0.8624999999999999,4.0,NEA
GeoB7920-2,5.0,20.75,-18.58,2278.0,0.98,3.0,NEA
GeoB7920-2,6.0,20.75,-18.58,2278.0,0.78,1.0,NEA
GeoB7920-2,7.0,20.75,-18.58,2278.0,0.905,2.0,NEA
KF13,4.0,37.58,-31.84,2690.0,1.1400000000000001,2.0,NEA
KF13,5.0,37.58,-31.84,2690.0,0.79,1.0,NEA
KF13,6.0,37.58,-31.84,2690.0,0.93,,NEA
KF13,7.0,37.58,-31.84,2690.0,1.07,1.0,NEA
KNR110-50,5.0,4.87,-43.21,3995.0,0.9450000000000001,2.0,NWA
KNR110-50,6.0,4.87,-43.21,3995.0,0.5941666666666667,,NWA
KNR110-50,7.0,4.87,-43.21,3995.0,0.24333333333333332,3.0,NWA
KNR110-58,2.0,4.79,-43.04,4341.0,0.35,1.0,NWA
KNR110-58,3.0,4.79,-43.04,4341.0,0.5566666666666666,,NWA
KNR110-58,4.0,4.79,-43.04,4341.0,0.7633333333333333,,NWA
KNR110-58,5.0,4.79,-43.04,4341.0,0.97,2.0,NWA
KNR110-58,6.0,4.79,-43.04,4341.0,0.835,,NWA
KNR110-58,7.0,4.79,-43.04,4341.0,0.7,2.0,NWA
KNR110-75,4.0,4.34,-43.41,3063.0,1.255,2.0,NWA
KNR110-75,5.0,4.34,-43.41,3063.0,1.0474999999999999,,NWA
KNR110-75,6.0,4.34,-43.41,3063.0,0.84,1.0,NWA
KNR140-37JPC,2.0,31.414149999999996,-75.25807,3000.0,0.8700000000000001,3.0,NWA
