Core,Lat,Lon,Ocean_depth,lower,d13C,count,regions
GeoB3004,14.61,52.92,1803.0,3.0,-0.16,1.0,I
GeoB3004,14.61,52.92,1803.0,4.0,-0.19,1.0,I
GeoB3004,14.61,52.92,1803.0,5.0,-0.125,,I
GeoB3004,14.61,52.92,1803.0,6.0,-0.06,1.0,I
M5-3A-422,24.39,58.04,2732.0,2.0,0.0375,4.0,I
M5-3A-422,24.39,58.04,2732.0,3.0,0.11333333333333334,3.0,I
M5-3A-422,24.39,58.04,2732.0,4.0,0.04666666666666666,3.0,I
M5-3A-422,24.39,58.04,2732.0,5.0,0.0,1.0,I
M5-3A-422,24.39,58.04,2732.0,6.0,-0.05,1.0,I
M5-3A-422,24.39,58.04,2732.0,7.0,0.05,1.0,I
MD01-2378,-13.08,121.79,1783.0,2.0,0.565,4.0,I
MD01-2378,-13.08,121.79,1783.0,3.0,0.61,3.0,I
MD01-2378,-13.08,121.79,1783.0,4.0,0.52,2.0,I
MD01-2378,-13.08,121.79,1783.0,5.0,0.355,2.0,I
MD01-2378,-13.08,121.79,1783.0,6.0,0.39,1.0,I
MD01-2378,-13.08,121.79,1783.0,7.0,0.44,1.0,I
MD79-254,-17.53,38.4,1934.0,4.0,0.71,1.0,I
MD79-254,-17.53,38.4,1934.0,5.0,0.62,1.0,I
MD88-770,-46.02,96.46,3290.0,5.0,0.17,1.0,I
MD88-770,-46.02,96.46,3290.0,6.0,0.015000000000000001,2.0,I
ODP758,5.38,90.36,2935.0,6.0,0.41500000000000004,2.0,I
RC11-120,-43.52,79.87,3193.0,4.0,0.44999999999999996,2.0,I
