Core,Lat,Lon,Ocean_depth,d13C,lower,count,regions
EW9504-05,32.48,-118.13,1818.0,-0.45,2.0,1.0,NP
EW9504-05,32.48,-118.13,1818.0,-0.23,3.0,1.0,NP
EW9504-05,32.48,-118.13,1818.0,-0.1,4.0,1.0,NP
EW9504-05,32.48,-118.13,1818.0,-0.25,5.0,1.0,NP
EW9504-05,32.48,-118.13,1818.0,-0.17,6.0,1.0,NP
EW9504-05,32.48,-118.13,1818.0,-0.495,7.0,2.0,NP
GIK17940-2,20.12,117.38,1727.0,0.255,2.0,2.0,NP
GIK17940-2,20.12,117.38,1727.0,0.34,3.0,1.0,NP
GIK17940-2,20.12,117.38,1727.0,0.22,4.0,2.0,NP
GIK17940-2,20.12,117.38,1727.0,0.3,5.0,1.0,NP
GIK17940-2,20.12,117.38,1727.0,0.1925,6.0,,NP
GIK17940-2,20.12,117.38,1727.0,0.08499999999999999,7.0,2.0,NP
GIK17961-2,8.51,112.33,1795.0,0.15,3.0,1.0,NP
GIK17961-2,8.51,112.33,1795.0,0.1,4.0,,NP
GIK17961-2,8.51,112.33,1795.0,0.05,5.0,1.0,NP
GIK17964-2,6.16,112.21,1556.0,0.11,2.0,1.0,NP
GIK17964-2,6.16,112.21,1556.0,-0.18,3.0,1.0,NP
GIK17964-2,6.16,112.21,1556.0,-0.2,4.0,1.0,NP
GIK17964-2,6.16,112.21,1556.0,-0.37,5.0,1.0,NP
GIK17964-2,6.16,112.21,1556.0,-0.25,6.0,1.0,NP
H214,-36.92,177.43,2045.0,0.355,3.0,2.0,SP
H214,-36.92,177.43,2045.0,0.3,4.0,2.0,SP
H214,-36.92,177.43,2045.0,0.53,5.0,1.0,SP
H214,-36.92,177.43,2045.0,0.51,6.0,2.0,SP
MD02-2489,54.39,-148.92,3640.0,-0.10500000000000001,7.0,2.0,NP
MD06-3018,-23.003,166.15,2470.0,0.5387,3.0,1.0,SP
MD06-3018,-23.003,166.15,2470.0,0.6388499999999999,4.0,,SP
MD06-3018,-23.003,166.15,2470.0,0.739,5.0,1.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,0.9756763298333332,2.0,6.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,0.9648865608571429,3.0,7.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,0.975621732,4.0,8.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,0.9610410902222222,5.0,9.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,0.8007456584999999,6.0,8.0,SP
MD97-2120,-45.53,174.93000000000004,1210.0,0.7452648352222222,7.0,9.0,SP
MD97-2151,8.730000000000002,109.87,1598.0,0.11544444444444446,2.0,9.0,NP
MD97-2151,8.730000000000002,109.87,1598.0,0.16999999999999998,3.0,7.0,NP
MD97-2151,8.730000000000002,109.87,1598.0,0.04075,4.0,4.0,NP
MD97-2151,8.730000000000002,109.87,1598.0,0.08414285714285714,5.0,7.0,NP
MD97-2151,8.730000000000002,109.87,1598.0,0.045000000000000005,6.0,4.0,NP
MD97-2151,8.730000000000002,109.87,1598.0,0.018333333333333337,7.0,6.0,NP
ODP1143,9.36,113.29,2772.0,0.24,3.0,1.0,NP
ODP807A,3.61,156.63,2804.0,0.13699999999999998,3.0,1.0,NP
ODP807A,3.61,156.63,2804.0,0.162,4.0,1.0,NP
ODP807A,3.61,156.63,2804.0,0.068,5.0,,NP
ODP807A,3.61,156.63,2804.0,-0.026000000000000002,6.0,1.0,NP
ODP807A,3.61,156.63,2804.0,0.036000000000000004,7.0,1.0,NP
ODP846,-3.1,-90.82,3296.0,0.14,2.0,1.0,SP
ODP846,-3.1,-90.82,3296.0,0.11400000000000002,3.0,,SP
ODP846,-3.1,-90.82,3296.0,0.08800000000000001,4.0,,SP
ODP846,-3.1,-90.82,3296.0,0.062,5.0,,SP
ODP846,-3.1,-90.82,3296.0,0.036000000000000004,6.0,,SP
ODP846,-3.1,-90.82,3296.0,0.01,7.0,1.0,SP
RC13-110,-0.1,-95.65,3231.0,0.1,7.0,1.0,SP
RS147-07,-45.15,146.28,3300.0,0.47,3.0,1.0,SP
RS147-07,-45.15,146.28,3300.0,0.55,4.0,1.0,SP
RS147-07,-45.15,146.28,3300.0,0.45,5.0,1.0,SP
RS147-07,-45.15,146.28,3300.0,0.40249999999999997,6.0,2.0,SP
RS147-07,-45.15,146.28,3300.0,0.17333333333333334,7.0,3.0,SP
V19-27,-0.47,-82.07,1373.0,0.39,3.0,1.0,SP
V19-27,-0.47,-82.07,1373.0,0.42,4.0,1.0,SP
V19-27,-0.47,-82.07,1373.0,0.4,5.0,,SP
V19-27,-0.47,-82.07,1373.0,0.38,6.0,1.0,SP
V19-27,-0.47,-82.07,1373.0,0.33,7.0,1.0,SP
V24-109,0.43,158.8,2367.0,0.44,5.0,2.0,NP
V28-304,28.53,134.13,2942.0,0.37,6.0,1.0,NP
V28-304,28.53,134.13,2942.0,0.24000000000000002,7.0,2.0,NP
V35-5,7.2,112.08,1953.0,-0.0035000000000000014,2.0,2.0,NP
V35-5,7.2,112.08,1953.0,0.04533333333333334,3.0,3.0,NP
V35-5,7.2,112.08,1953.0,0.030500000000000003,4.0,2.0,NP
V35-5,7.2,112.08,1953.0,0.141,5.0,1.0,NP
V35-5,7.2,112.08,1953.0,0.102,6.0,1.0,NP
V35-5,7.2,112.08,1953.0,0.003,7.0,1.0,NP
Y69-106,2.98,-86.55,2870.0,0.09,6.0,1.0,NP
