lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
125.0,-20.1,9.19,2209.0,0.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.0,53.54,-20.29,2196.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.0,-23.43,11.7,2987.0,0.46,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.0,61.0,-21.0,2658.0,0.81,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.25,55.49,-14.7,2168.0,0.4,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.25,40.05,-32.0,2475.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.5,54.63,-16.35,2209.0,0.88,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.5,-10.07,-12.82,2630.0,0.85,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.5,-19.7,8.88,2675.0,0.34,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
125.75,40.05,-32.0,2475.0,1.1,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.0,60.4,-23.64,1984.0,0.75,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.25,30.63,-12.4,2324.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.25,40.05,-32.0,2475.0,1.0,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.25,61.0,-21.0,2658.0,0.635,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.5,53.18,-19.15,2472.0,0.83,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.5,-36.2667,19.475,2488.0,0.49,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.75,-20.1,9.19,2209.0,0.25,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
126.75,29.98,-10.65,1512.0,0.85,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
