Core,Lat,Lon,Ocean_depth,lower,d13C,count,regions
CH69_K09,41.75,-47.35,4100.0,118.0,0.54,1.0,NWA
CH69_K09,41.75,-47.35,4100.0,119.0,0.86,1.0,NWA
CH69_K09,41.75,-47.35,4100.0,120.0,0.5333333333333333,3.0,NWA
CH69_K09,41.75,-47.35,4100.0,121.0,0.6433333333333332,3.0,NWA
CH69_K09,41.75,-47.35,4100.0,122.0,0.6266666666666667,3.0,NWA
CH69_K09,41.75,-47.35,4100.0,123.0,0.73,1.0,NWA
CH69_K09,41.75,-47.35,4100.0,124.0,0.58,3.0,NWA
CH69_K09,41.75,-47.35,4100.0,125.0,0.5866666666666668,3.0,NWA
CH69_K09,41.75,-47.35,4100.0,126.0,0.52,1.0,NWA
CH69_K09,41.75,-47.35,4100.0,127.0,0.585,2.0,NWA
CH69_K09,41.75,-47.35,4100.0,128.0,0.25333333333333335,3.0,NWA
CH69_K09,41.75,-47.35,4100.0,129.0,0.09,1.0,NWA
GEOB1028-5,-20.1,9.19,2209.0,118.0,0.5,1.0,SEA
GEOB1028-5,-20.1,9.19,2209.0,119.0,0.52,1.0,SEA
GEOB1028-5,-20.1,9.19,2209.0,120.0,0.5800000000000001,,SEA
GEOB1028-5,-20.1,9.19,2209.0,121.0,0.64,1.0,SEA
GEOB1028-5,-20.1,9.19,2209.0,122.0,0.585,,SEA
GEOB1028-5,-20.1,9.19,2209.0,123.0,0.53,1.0,SEA
GEOB1028-5,-20.1,9.19,2209.0,124.0,0.33,,SEA
GEOB1028-5,-20.1,9.19,2209.0,125.0,0.13,1.0,SEA
GEOB1028-5,-20.1,9.19,2209.0,126.0,0.25,1.0,SEA
GEOB1028-5,-20.1,9.19,2209.0,127.0,0.35,,SEA
GEOB1028-5,-20.1,9.19,2209.0,128.0,0.45,1.0,SEA
GEOB2109-1,-27.91,-45.88,2504.0,120.0,0.84,1.0,SWA
GEOB2109-1,-27.91,-45.88,2504.0,121.0,0.755,,SWA
GEOB2109-1,-27.91,-45.88,2504.0,122.0,0.6699999999999999,,SWA
GEOB2109-1,-27.91,-45.88,2504.0,123.0,0.585,,SWA
GEOB2109-1,-27.91,-45.88,2504.0,124.0,0.5,1.0,SWA
GEOB2109-1,-27.91,-45.88,2504.0,125.0,0.48,,SWA
GEOB2109-1,-27.91,-45.88,2504.0,126.0,0.46,,SWA
GEOB2109-1,-27.91,-45.88,2504.0,127.0,0.44,1.0,SWA
GEOB3801-6,-29.51,-8.31,4546.0,120.0,0.38,1.0,SEA
GEOB3801-6,-29.51,-8.31,4546.0,121.0,0.3725,,SEA
GEOB3801-6,-29.51,-8.31,4546.0,122.0,0.365,,SEA
GEOB3801-6,-29.51,-8.31,4546.0,123.0,0.3575,,SEA
GEOB3801-6,-29.51,-8.31,4546.0,124.0,0.35,1.0,SEA
GEOB3801-6,-29.51,-8.31,4546.0,125.0,0.2975,,SEA
GEOB3801-6,-29.51,-8.31,4546.0,126.0,0.245,,SEA
GEOB3801-6,-29.51,-8.31,4546.0,127.0,0.1925,,SEA
GEOB3801-6,-29.51,-8.31,4546.0,128.0,0.14,1.0,SEA
GEOB4403-2,6.13,-43.44,4503.0,119.0,0.54,1.0,NWA
GEOB4403-2,6.13,-43.44,4503.0,120.0,0.6066666666666667,,NWA
GEOB4403-2,6.13,-43.44,4503.0,121.0,0.6733333333333333,,NWA
GEOB4403-2,6.13,-43.44,4503.0,122.0,0.74,1.0,NWA
GEOB4403-2,6.13,-43.44,4503.0,123.0,0.41333333333333333,,NWA
GEOB4403-2,6.13,-43.44,4503.0,124.0,0.08666666666666667,,NWA
GEOB4403-2,6.13,-43.44,4503.0,125.0,-0.24,1.0,NWA
GEOB4403-2,6.13,-43.44,4503.0,126.0,-0.2733333333333333,,NWA
GEOB4403-2,6.13,-43.44,4503.0,127.0,-0.3066666666666667,,NWA
GEOB4403-2,6.13,-43.44,4503.0,128.0,-0.34,1.0,NWA
GIK15612-2,44.36,-26.54,3050.0,120.0,1.0,1.0,NEA
GIK15612-2,44.36,-26.54,3050.0,121.0,0.9711111111111111,,NEA
GIK15612-2,44.36,-26.54,3050.0,122.0,0.9422222222222222,,NEA
GIK15612-2,44.36,-26.54,3050.0,123.0,0.9133333333333333,,NEA
GIK15612-2,44.36,-26.54,3050.0,124.0,0.8844444444444445,,NEA
GIK15612-2,44.36,-26.54,3050.0,125.0,0.8555555555555555,,NEA
GIK15612-2,44.36,-26.54,3050.0,126.0,0.8266666666666667,,NEA
GIK15612-2,44.36,-26.54,3050.0,127.0,0.7977777777777777,,NEA
GIK15612-2,44.36,-26.54,3050.0,128.0,0.7688888888888888,,NEA
GIK15612-2,44.36,-26.54,3050.0,129.0,0.74,1.0,NEA
GIK15669,34.89,-7.82,2022.0,122.0,1.01,1.0,NEA
GIK16772-1,-1.34,-11.9733,3911.0,120.0,0.48,1.0,SEA
GIK16772-1,-1.34,-11.9733,3911.0,121.0,0.645,,SEA
GIK16772-1,-1.34,-11.9733,3911.0,122.0,0.81,1.0,SEA
GIK16772-1,-1.34,-11.9733,3911.0,123.0,0.5800000000000001,,SEA
GIK16772-1,-1.34,-11.9733,3911.0,124.0,0.35,1.0,SEA
GIK16772-1,-1.34,-11.9733,3911.0,125.0,0.31,,SEA
GIK16772-1,-1.34,-11.9733,3911.0,126.0,0.27,,SEA
GIK16772-1,-1.34,-11.9733,3911.0,127.0,0.23,1.0,SEA
GIK17051,56.16,-31.99,2295.0,127.0,0.9,1.0,NEA
GeoB4240,28.89,-13.23,1358.0,129.0,0.16,1.0,NEA
GeoB7920-2,20.75,-18.58,2278.0,118.0,0.47,1.0,NEA
KNR140-37JPC,31.41415,-75.25807,3000.0,118.0,0.86,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,119.0,0.0,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,120.0,0.38,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,121.0,0.86,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,122.0,0.7,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,123.0,0.41,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,124.0,0.64,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,125.0,0.52,2.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,126.0,0.57,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,127.0,0.89,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,128.0,0.61,1.0,NWA
KNR140-37JPC,31.41415,-75.25807,3000.0,129.0,0.22,1.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,118.0,0.7481818181818181,33.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,119.0,0.63375,32.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,120.0,0.5753125000000002,32.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,121.0,0.6063888888888889,36.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,122.0,0.4537931034482758,29.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,123.0,0.21241379310344827,29.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,124.0,0.032222222222222235,27.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,125.0,0.0196551724137931,29.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,126.0,0.39444444444444443,9.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,127.0,0.07999999999999999,4.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,128.0,0.35,2.0,NWA
MD03_2664,57.43900000000003,-48.60580000000002,3442.0,129.0,-0.08500000000000002,4.0,NWA
MD95_2042,37.799833,-10.1665,3146.0,118.0,0.5800000000000001,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,119.0,0.69,1.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,120.0,0.79,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,121.0,0.79,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,122.0,0.81,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,123.0,0.72,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,124.0,0.55,1.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,125.0,0.67,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,126.0,0.6000000000000001,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,127.0,0.345,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,128.0,0.21500000000000002,2.0,NEA
MD95_2042,37.799833,-10.1665,3146.0,129.0,-0.06,1.0,NEA
MD96-2080,-36.2667,19.475,2488.0,118.0,0.53,1.0,SEA
MD96-2080,-36.2667,19.475,2488.0,119.0,0.5700000000000001,,SEA
MD96-2080,-36.2667,19.475,2488.0,120.0,0.61,,SEA
MD96-2080,-36.2667,19.475,2488.0,121.0,0.65,1.0,SEA
MD96-2080,-36.2667,19.475,2488.0,122.0,0.61,,SEA
MD96-2080,-36.2667,19.475,2488.0,123.0,0.57,1.0,SEA
MD96-2080,-36.2667,19.475,2488.0,124.0,0.5433333333333333,,SEA
MD96-2080,-36.2667,19.475,2488.0,125.0,0.5166666666666666,,SEA
MD96-2080,-36.2667,19.475,2488.0,126.0,0.49,1.0,SEA
MD96-2080,-36.2667,19.475,2488.0,127.0,0.4033333333333333,,SEA
MD96-2080,-36.2667,19.475,2488.0,128.0,0.31666666666666665,,SEA
MD96-2080,-36.2667,19.475,2488.0,129.0,0.23,1.0,SEA
NEAP18K,52.767,-30.345000000000002,3275.0,118.0,0.8021855555555556,9.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,119.0,0.8207675,8.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,120.0,0.7952383333333334,6.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,121.0,0.7711920000000001,5.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,122.0,0.6386883333333334,6.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,123.0,0.7004666666666667,3.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,124.0,0.6253514285714284,7.0,NEA
NEAP18K,52.767,-30.345000000000002,3275.0,125.0,0.511,7.0,NEA
ODP1063,33.683333,-57.616667,4584.0,119.0,0.526,1.0,NWA
ODP1063,33.683333,-57.616667,4584.0,120.0,-0.552,1.0,NWA
ODP1063,33.683333,-57.616667,4584.0,121.0,0.91,1.0,NWA
ODP1063,33.683333,-57.616667,4584.0,122.0,0.751,1.0,NWA
ODP1063,33.683333,-57.616667,4584.0,123.0,0.58,1.0,NWA
ODP1063,33.683333,-57.616667,4584.0,124.0,0.7164999999999999,,NWA
