Core,Lat,Lon,Ocean_depth,lower,d13C,count,regions
GeoB3004,14.61,52.92,1803.0,119.0,-0.31,1.0,I
GeoB3004,14.61,52.92,1803.0,120.0,-0.21,1.0,I
GeoB3004,14.61,52.92,1803.0,121.0,-0.14,,I
GeoB3004,14.61,52.92,1803.0,122.0,-0.07,1.0,I
GeoB3004,14.61,52.92,1803.0,123.0,-0.31,1.0,I
GeoB3004,14.61,52.92,1803.0,124.0,-0.17,1.0,I
GeoB3004,14.61,52.92,1803.0,125.0,-0.24,1.0,I
GeoB3004,14.61,52.92,1803.0,126.0,-0.26,1.0,I
GeoB3004,14.61,52.92,1803.0,127.0,-0.29500000000000004,,I
GeoB3004,14.61,52.92,1803.0,128.0,-0.33,1.0,I
GeoB3004,14.61,52.92,1803.0,129.0,-0.16999999999999998,2.0,I
MD01-2378,-13.08,121.79,1783.0,119.0,0.16,1.0,I
MD01-2378,-13.08,121.79,1783.0,120.0,0.28,1.0,I
MD01-2378,-13.08,121.79,1783.0,121.0,0.13,1.0,I
MD01-2378,-13.08,121.79,1783.0,122.0,0.23,1.0,I
MD01-2378,-13.08,121.79,1783.0,123.0,0.30000000000000004,2.0,I
MD01-2378,-13.08,121.79,1783.0,124.0,0.22,1.0,I
MD01-2378,-13.08,121.79,1783.0,125.0,-0.03,1.0,I
MD01-2378,-13.08,121.79,1783.0,126.0,-0.035,,I
MD01-2378,-13.08,121.79,1783.0,127.0,-0.04,1.0,I
MD01-2378,-13.08,121.79,1783.0,128.0,0.14,1.0,I
ODP758,5.38,90.36,2935.0,118.0,0.20500000000000002,2.0,I
ODP758,5.38,90.36,2935.0,119.0,0.21642857142857144,,I
ODP758,5.38,90.36,2935.0,120.0,0.22785714285714287,,I
ODP758,5.38,90.36,2935.0,121.0,0.23928571428571432,,I
ODP758,5.38,90.36,2935.0,122.0,0.2507142857142857,,I
ODP758,5.38,90.36,2935.0,123.0,0.2621428571428572,,I
ODP758,5.38,90.36,2935.0,124.0,0.2735714285714286,,I
ODP758,5.38,90.36,2935.0,125.0,0.28500000000000003,2.0,I
RC12-339,9.133,90.033,3010.0,118.0,0.08,1.0,I
RC12-339,9.133,90.033,3010.0,119.0,0.16,1.0,I
RC12-339,9.133,90.033,3010.0,120.0,-0.11,1.0,I
RC12-339,9.133,90.033,3010.0,121.0,-0.19,1.0,I
RC12-339,9.133,90.033,3010.0,122.0,-0.19,1.0,I
RC12-339,9.133,90.033,3010.0,123.0,-0.19,1.0,I
RC12-339,9.133,90.033,3010.0,124.0,-0.06,1.0,I
RC12-339,9.133,90.033,3010.0,125.0,-0.88,1.0,I
RC12-339,9.133,90.033,3010.0,126.0,-0.62,1.0,I
RC12-339,9.133,90.033,3010.0,127.0,-0.65,,I
RC12-339,9.133,90.033,3010.0,128.0,-0.68,1.0,I
RC12-339,9.133,90.033,3010.0,129.0,-0.52,1.0,I
