Core,Lat,Lon,Ocean_depth,d13C,lower,count,regions
DSDP594,-45.52,174.95,1204.0,-0.08,128.0,1.0,SP
GIK17961-2,8.51,112.33,1795.0,-0.21,123.0,1.0,NP
GIK17961-2,8.51,112.33,1795.0,-0.20333333333333334,124.0,,NP
GIK17961-2,8.51,112.33,1795.0,-0.19666666666666666,125.0,,NP
GIK17961-2,8.51,112.33,1795.0,-0.19,126.0,,NP
GIK17961-2,8.51,112.33,1795.0,-0.18333333333333335,127.0,,NP
GIK17961-2,8.51,112.33,1795.0,-0.17666666666666667,128.0,,NP
GIK17961-2,8.51,112.33,1795.0,-0.17,129.0,1.0,NP
GeoB3388-1,-25.22,-75.52,3558.0,-0.16,129.0,1.0,SP
MD06-3018,-23.003,166.15,2470.0,0.4877,120.0,1.0,SP
MD06-3018,-23.003,166.15,2470.0,0.4671,121.0,,SP
MD06-3018,-23.003,166.15,2470.0,0.4465,122.0,1.0,SP
MD06-3018,-23.003,166.15,2470.0,0.3913,123.0,,SP
MD06-3018,-23.003,166.15,2470.0,0.3361,124.0,,SP
MD06-3018,-23.003,166.15,2470.0,0.2809,125.0,,SP
MD06-3018,-23.003,166.15,2470.0,0.22569999999999998,126.0,,SP
MD06-3018,-23.003,166.15,2470.0,0.1705,127.0,1.0,SP
MD97-2151,8.73,109.87,1598.0,-0.324,118.0,4.0,NP
MD97-2151,8.73,109.87,1598.0,-0.20139999999999997,119.0,5.0,NP
MD97-2151,8.73,109.87,1598.0,-0.351,120.0,3.0,NP
MD97-2151,8.73,109.87,1598.0,-0.203,121.0,1.0,NP
MD97-2151,8.73,109.87,1598.0,-0.491,122.0,4.0,NP
MD97-2151,8.73,109.87,1598.0,-0.3195,123.0,2.0,NP
MD97-2151,8.73,109.87,1598.0,-0.5986666666666666,124.0,3.0,NP
MD97-2151,8.73,109.87,1598.0,-0.384,125.0,1.0,NP
MD97-2151,8.73,109.87,1598.0,-0.647,126.0,1.0,NP
MD97-2151,8.73,109.87,1598.0,-0.4,127.0,1.0,NP
MD97-2151,8.73,109.87,1598.0,-0.7559999999999999,128.0,1.0,NP
ODP1143,9.36,113.29,2772.0,-0.21,120.0,1.0,NP
ODP1143,9.36,113.29,2772.0,-0.22444444444444445,121.0,,NP
ODP1143,9.36,113.29,2772.0,-0.23888888888888887,122.0,,NP
ODP1143,9.36,113.29,2772.0,-0.25333333333333335,123.0,,NP
ODP1143,9.36,113.29,2772.0,-0.2677777777777778,124.0,,NP
ODP1143,9.36,113.29,2772.0,-0.28222222222222226,125.0,,NP
ODP1143,9.36,113.29,2772.0,-0.2966666666666667,126.0,,NP
ODP1143,9.36,113.29,2772.0,-0.3111111111111111,127.0,,NP
ODP1143,9.36,113.29,2772.0,-0.3255555555555556,128.0,,NP
ODP1143,9.36,113.29,2772.0,-0.34,129.0,1.0,NP
ODP677,1.2,-83.73,3450.0,-0.27,121.0,1.0,NP
ODP677,1.2,-83.73,3450.0,-0.25333333333333335,122.0,,NP
ODP677,1.2,-83.73,3450.0,-0.23666666666666666,123.0,,NP
