Core,lower,Lat,Lon,Ocean_depth,d13C,count,regions
DSDP594,128.0,-45.52,174.95,1204.0,-0.08,1.0,SP
GIK17961-2,123.0,8.51,112.33,1795.0,-0.21,1.0,NP
GIK17961-2,124.0,8.51,112.33,1795.0,-0.20333333333333334,,NP
GIK17961-2,125.0,8.51,112.33,1795.0,-0.19666666666666666,,NP
GIK17961-2,126.0,8.51,112.33,1795.0,-0.19,,NP
GIK17961-2,127.0,8.51,112.33,1795.0,-0.18333333333333335,,NP
GIK17961-2,128.0,8.51,112.33,1795.0,-0.17666666666666667,,NP
GIK17961-2,129.0,8.51,112.33,1795.0,-0.17,1.0,NP
GeoB3388-1,129.0,-25.22,-75.52,3558.0,-0.16,1.0,SP
MD06-3018,120.0,-23.003,166.15,2470.0,0.4877,1.0,SP
MD06-3018,121.0,-23.003,166.15,2470.0,0.4671,,SP
MD06-3018,122.0,-23.003,166.15,2470.0,0.4465,1.0,SP
MD06-3018,123.0,-23.003,166.15,2470.0,0.3913,,SP
MD06-3018,124.0,-23.003,166.15,2470.0,0.3361,,SP
MD06-3018,125.0,-23.003,166.15,2470.0,0.2809,,SP
MD06-3018,126.0,-23.003,166.15,2470.0,0.22569999999999998,,SP
MD06-3018,127.0,-23.003,166.15,2470.0,0.1705,1.0,SP
MD97-2151,118.0,8.73,109.87,1598.0,-0.324,4.0,NP
MD97-2151,119.0,8.73,109.87,1598.0,-0.20139999999999997,5.0,NP
MD97-2151,120.0,8.73,109.87,1598.0,-0.351,3.0,NP
MD97-2151,121.0,8.73,109.87,1598.0,-0.203,1.0,NP
MD97-2151,122.0,8.73,109.87,1598.0,-0.491,4.0,NP
MD97-2151,123.0,8.73,109.87,1598.0,-0.3195,2.0,NP
MD97-2151,124.0,8.73,109.87,1598.0,-0.5986666666666666,3.0,NP
MD97-2151,125.0,8.73,109.87,1598.0,-0.384,1.0,NP
MD97-2151,126.0,8.73,109.87,1598.0,-0.647,1.0,NP
MD97-2151,127.0,8.73,109.87,1598.0,-0.4,1.0,NP
MD97-2151,128.0,8.73,109.87,1598.0,-0.7559999999999999,1.0,NP
ODP1143,120.0,9.36,113.29,2772.0,-0.21,1.0,NP
ODP1143,121.0,9.36,113.29,2772.0,-0.22444444444444445,,NP
ODP1143,122.0,9.36,113.29,2772.0,-0.23888888888888887,,NP
ODP1143,123.0,9.36,113.29,2772.0,-0.25333333333333335,,NP
ODP1143,124.0,9.36,113.29,2772.0,-0.2677777777777778,,NP
ODP1143,125.0,9.36,113.29,2772.0,-0.28222222222222226,,NP
ODP1143,126.0,9.36,113.29,2772.0,-0.2966666666666667,,NP
ODP1143,127.0,9.36,113.29,2772.0,-0.3111111111111111,,NP
ODP1143,128.0,9.36,113.29,2772.0,-0.3255555555555556,,NP
ODP1143,129.0,9.36,113.29,2772.0,-0.34,1.0,NP
ODP677,121.0,1.2,-83.73,3450.0,-0.27,1.0,NP
ODP677,122.0,1.2,-83.73,3450.0,-0.25333333333333335,,NP
ODP677,123.0,1.2,-83.73,3450.0,-0.23666666666666666,,NP
ODP677,124.0,1.2,-83.73,3450.0,-0.22,1.0,NP
ODP677,125.0,1.2,-83.73,3450.0,-0.1925,,NP
ODP677,126.0,1.2,-83.73,3450.0,-0.165,,NP
ODP677,127.0,1.2,-83.73,3450.0,-0.1375,,NP
ODP677,128.0,1.2,-83.73,3450.0,-0.11,1.0,NP
ODP677,129.0,1.2,-83.73,3450.0,-0.17,1.0,NP
ODP807A,122.0,3.61,156.63,2804.0,-0.45399999999999996,1.0,NP
ODP807A,123.0,3.61,156.63,2804.0,-0.3822,,NP
ODP807A,124.0,3.61,156.63,2804.0,-0.31039999999999995,,NP
ODP807A,125.0,3.61,156.63,2804.0,-0.23859999999999995,,NP
ODP807A,126.0,3.61,156.63,2804.0,-0.16679999999999995,,NP
ODP807A,127.0,3.61,156.63,2804.0,-0.095,1.0,NP
ODP807A,128.0,3.61,156.63,2804.0,0.04550000000000001,,NP
ODP807A,129.0,3.61,156.63,2804.0,0.18600000000000003,1.0,NP
ODP846,119.0,-3.1,-90.82,3296.0,0.0,1.0,SP
ODP846,120.0,-3.1,-90.82,3296.0,-0.0175,,SP
ODP846,121.0,-3.1,-90.82,3296.0,-0.035,,SP
ODP846,122.0,-3.1,-90.82,3296.0,-0.052500000000000005,,SP
ODP846,123.0,-3.1,-90.82,3296.0,-0.07,1.0,SP
ODP846,124.0,-3.1,-90.82,3296.0,0.026666666666666672,,SP
ODP846,125.0,-3.1,-90.82,3296.0,0.12333333333333335,,SP
ODP846,126.0,-3.1,-90.82,3296.0,0.22,1.0,SP
ODP846,127.0,-3.1,-90.82,3296.0,0.16999999999999998,,SP
ODP846,128.0,-3.1,-90.82,3296.0,0.12,1.0,SP
ODP849,119.0,0.18,-110.52,3839.0,0.23,1.0,NP
ODP849,120.0,0.18,-110.52,3839.0,0.2025,,NP
ODP849,121.0,0.18,-110.52,3839.0,0.175,,NP
ODP849,122.0,0.18,-110.52,3839.0,0.1475,,NP
ODP849,123.0,0.18,-110.52,3839.0,0.12,1.0,NP
ODP849,124.0,0.18,-110.52,3839.0,0.07333333333333333,,NP
ODP849,125.0,0.18,-110.52,3839.0,0.026666666666666672,,NP
ODP849,126.0,0.18,-110.52,3839.0,-0.02,1.0,NP
RC13-110,119.0,-0.1,-95.65,3231.0,-0.26,1.0,SP
RC13-110,120.0,-0.1,-95.65,3231.0,-0.1766666666666667,,SP
RC13-110,121.0,-0.1,-95.65,3231.0,-0.09333333333333335,,SP
