Core,Lat,Lon,Ocean_depth,d13C,count,stdev
CH73-139,54.63,-16.35,2209.0,0.91,1.0,
EW9209-1JPC,5.91,-44.2,4056.0,0.8633333333333333,3.0,0.12662279942148386
GeoB1034,-21.74,5.42,3772.0,0.51,1.0,
GeoB1035,-21.59,5.03,4453.0,0.15,1.0,
GeoB1041,-3.48,-7.6,4033.0,0.665,2.0,0.09192388155425117
GeoB1101,1.66,-10.98,4588.0,0.69,1.0,
GeoB1105,-1.67,-12.43,3225.0,0.73,2.0,0.05656854249492385
GeoB1112,-5.78,-10.75,3125.0,0.88,1.0,
GeoB1115,-3.56,-12.56,2945.0,0.8,2.0,0.14142135623730953
GeoB1117,-3.82,-14.9,3984.0,0.6799999999999999,2.0,0.08485281374238571
GeoB1118,-3.56,-16.43,4675.0,0.33,1.0,
GeoB1211,-24.48,7.53,4084.0,0.39,1.0,
GeoB1214,-24.69,7.24,3210.0,0.42,1.0,
GeoB1710,-23.43,11.7,2987.0,0.33,2.0,0.18384776310850237
GeoB4216,30.63,-12.4,2324.0,0.7649999999999999,2.0,0.10606601717798214
GIK12392-1,25.17,-16.85,2573.0,0.834,5.0,0.09316651759081693
GIK13519-1,5.67,-19.85,2862.0,0.93,1.0,
GIK15612-2,44.36,-26.54,3050.0,1.0,1.0,
GIK15669,34.89,-7.82,2022.0,1.01,1.0,
GIK16004,29.98,-10.65,1512.0,0.94,1.0,
GIK16402,14.42,-20.54,4202.0,0.89,1.0,
GIK16867,-2.2,5.1,3891.0,0.73,1.0,
GIK17049-6,55.26,-26.73,3331.0,0.765,2.0,0.007071067811865481
GIK23414-9,53.54,-20.29,2196.0,1.065,2.0,0.0919238815542511
GIK23415-9,53.18,-19.15,2472.0,1.0166666666666666,3.0,0.03511884584284249
GIK23416-4,51.57,-20.0,3616.0,0.62,1.0,
IODP-U1308,49.88,-24.24,3883.0,0.8474999999999998,16.0,0.09059065441129492
NO79-28,45.63,-22.75,3625.0,0.67,1.0,
ODP1087,-31.46,15.31,1372.0,0.16666666666666666,3.0,0.0808290376865476
ODP1089,-40.94,9.89,4621.0,-0.08571428571428573,7.0,0.11858290248558079
ODP664,0.11,-23.23,3806.0,0.94,1.0,
ODP925,4.2,-43.49,3040.0,0.45,1.0,
ODP926,3.72,-42.91,3598.0,0.55,1.0,
ODP928,5.46,-43.75,4012.0,0.115,2.0,0.10606601717798214
ODP982,57.51,-15.85,1134.0,0.49,1.0,
ODP983,60.4,-23.64,1984.0,0.7742857142857142,7.0,0.17106111411394687
PS2498,-44.15,-14.23,3783.0,0.365,2.0,0.14849242404917495
RC13-228,-22.33,11.2,3204.0,0.45,3.0,0.026457513110645897
SU90-03,40.05,-32.0,2475.0,0.9512499999999999,8.0,0.06334429729659966
SU90-11,44.07,-40.02,3645.0,1.06,2.0,0.014142135623730963
SU90-39,52.5,-22.0,3955.0,0.6887499999999999,8.0,0.09920217451533729
V22-174,-10.07,-12.82,2630.0,0.83,2.0,0.19798989873223333
V28-127,11.65,-80.13,3237.0,0.7035,2.0,0.002121320343559566
V29-202,61.0,-21.0,2658.0,0.7825,4.0,0.24540782383616058
CH69_K09,41.75,-47.350000000000016,4100.0,0.606153846153846,13.0,0.1525635638861423
GEOB1028-5,-20.1,9.19,2209.0,0.585,2.0,0.07778174593052017
GEOB2109-1,-27.91,-45.88,2504.0,0.6699999999999999,2.0,0.24041630560342608
GEOB3801-6,-29.51,-8.31,4546.0,0.365,2.0,0.021213203435596444
GEOB4403-2,6.13,-43.44,4503.0,0.74,1.0,
GIK16772-1,-1.34,-11.9733,3911.0,0.5466666666666667,3.0,0.23713568549109884
KNR140-37JPC,31.41415,-75.25807,3000.0,0.5980000000000001,5.0,0.20228692493584452
MD03_2664,57.43900000000013,-48.60580000000008,3442.0,0.39322368421052634,152.0,0.35582494761136135
MD95_2042,37.799833,-10.1665,3146.0,0.7487499999999999,8.0,0.09789754119194499
MD96-2080,-36.2667,19.475,2488.0,0.61,2.0,0.05656854249492385
NEAP18K,52.76700000000004,-30.34500000000002,3275.0,0.7014214814814814,27.0,0.15638718786553468
ODP1063,33.683333,-57.616667,4584.0,0.42225,4.0,0.6633311767134121
U1308,49.87776,-24.238110000000002,3871.0,0.8473913043478261,23.0,0.10489030596096562
V22-38,-9.55,-34.25,3797.0,0.185,2.0,0.13435028842544405
V27-20,54.0,-46.2,3510.0,0.7974999999999999,4.0,0.14384598244882155
