"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
54.63 -16.35 2209 0.76 1 NA "1"
56.16 -31.99 2295 1.02 2 0.0282842712474619 "1"
53.54 -20.29 2196 1.21 1 NA "1"
53.18 -19.15 2472 1.14 2 0.0989949493661166 "1"
52.55 -20.33 2841 1.06 2 0.0707106781186548 "1"
54.96 -19.76 1487 1.23 1 NA "1"
55.48 -14.68 2161 1.12 1 NA "1"
55.49 -14.7 2168 1.1 1 NA "1"
57.51 -15.85 1134 0.94 1 NA "1"
60.4 -23.64 1984 1 4 0.0707106781186548 "1"
61 -24 1650 1.05 5 0.216679486800205 "1"
54.25 -16.83 2393 0.97 1 NA "1"
64.78 -29.57 1855 0.91 1 NA "1"
61 -21 2658 1.05666666666667 6 0.198158185969358 "1"
-44.07 -14.21 3770 0.115 2 0.0494974746830583 "1"
-40.94 9.89 4621 0.31 1 NA "1"
-42.91 8.9 3702 0.2 1 NA "1"
-43.22 11.74 4610 -0.33 1 NA "1"
-41.28 -14.49 3134 0.71 1 NA "1"
-44.15 -14.23 3783 0.21 1 NA "1"
3.09 -20.02 4745 0.84 1 NA "1"
2.46 -19.76 5105 0.845 2 0.00707106781186548 "1"
2.47 -19.73 4998 0.86 1 NA "1"
4.31 -20.21 4095 0.63 1 NA "1"
5.91 -44.2 4056 0.53 1 NA "1"
-21.59 5.03 4453 0.6 1 NA "1"
-3.48 -7.6 4033 0.85 1 NA "1"
1.66 -10.98 4588 0.945 2 0.0212132034355964 "1"
-3.82 -14.9 3984 0.92 1 NA "1"
-3.56 -16.43 4675 -0.005 2 0.318198051533946 "1"
-24.48 7.53 4084 0.26 1 NA "1"
14.42 -20.54 4202 0.77 1 NA "1"
4.87 -43.21 3995 0.76 2 0.254558441227157 "1"
4.95 -42.89 4556 0.1 4 0.453504869507116 "1"
4.79 -43.04 4341 0.35 1 NA "1"
33.69 -57.63 4583 0.630714285714286 14 0.3788944299023 "1"
38.24 -10.39 4602 0.82 1 NA "1"
