"Core" "Lat" "Lon" "Ocean_depth" "d13C" "age" "age_weights" "run.no"
"CH73-139" 54.63 -16.35 2209 0.760118396770478 113.888277358491 0.327169811320772 "1"
"GIK23414-9" 53.54 -20.29 2196 0.966888440837697 113.901899690311 0.888816282029538 "1"
"GIK23415-9" 53.18 -19.15 2472 0.61 113.486258703072 0.48625870307167 "1"
"GIK23418-8" 52.55 -20.33 2841 0.61 113.613203408316 0.613203408316281 "1"
"ODP980" 55.49 -14.7 2168 0.35 113.357772659064 0.357772659063627 "1"
"ODP983" 60.4 -23.64 1984 1.08966048391457 114.100143091564 2.93787945127217 "1"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.391061844863728 "1"
"ODP1089" -40.94 9.89 4621 -0.464847776725798 113.849426115288 2.35664416040099 "1"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.622426615384626 "1"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.423066537467705 "1"
"CH69_K09" 41.75 -47.35 4100 0.491979166666667 114.086666666667 0.959999999999994 "1"
"EW9209-1JPC" 5.91 -44.2 4056 0.710586307121044 113.832801057592 2.45311366492147 "1"
"GEOB1028-5" -20.1 9.19 2209 0.646000002719999 113.97058825 0.294117700000001 "1"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.555555600000005 "1"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.799999999999997 "1"
"GIK12392-1" 25.17 -16.85 2573 0.80514261389292 113.830813995838 0.57359635796044 "1"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.075591623864085 "1"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.937339568345323 "1"
"GeoB1034" -21.74 5.42 3772 0.16 113.266056896552 0.266056896551731 "1"
"GeoB1035" -21.59 5.03 4453 0 113.5787 0.578699999999998 "1"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.607327342256198 "1"
"GeoB1105" -1.67 -12.43 3225 0.513818056801196 113.57230704388 1.04289838337182 "1"
"GeoB1112" -5.78 -10.75 3125 0.63 113.149172357724 0.149172357723572 "1"
"GeoB1115" -3.56 -12.56 2945 0.8 113.013798666667 0.0137986666666592 "1"
"GeoB1117" -3.82 -14.9 3984 0.153505034158034 113.996703503185 0.243622292993621 "1"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.545516666666657 "1"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.969034655532369 "1"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.599761600928062 "1"
"GeoB7920-2" 20.75 -18.58 2278 0.354643987916883 113.805653159977 1.49931059471351 "1"
"IODP-U1308" 49.88 -24.24 3883 0.533534302398543 114.168917683923 3.8684612683402 "1"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.819016389559797 113.979166666667 1.27083339999999 "1"
"MD95_2042" 37.799833 -10.1665 3146 0.514124087591241 113.97 2.74000000000001 "1"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.536363600000001 "1"
"ODP1063" 33.683333 -57.616667 4584 0.3929375 114.36 1.28 "1"
"ODP1087" -31.46 15.31 1372 0.15 113.05349527027 0.0534952702702753 "1"
"ODP664" 0.11 -23.23 3806 0.61 113.084555102041 0.0845551020408237 "1"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.958859999999987 "1"
"ODP926" 3.72 -42.91 3598 -0.06 113.16683902133 0.166839021329977 "1"
"SU90-03" 40.05 -32 2475 0.964626564821879 114.084056850962 0.216927644230765 "1"
"SU90-11" 44.07 -40.02 3645 0.395056131963181 113.99308190709 1.23246943765282 "1"
"U1308" 49.87776 -24.23811 3871 0.664211956521739 114.022857142857 3.68000000000002 "1"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.511533461169705 "1"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.80424731182795 "1"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.375307547169811 "2"
"GIK23414-9" 53.54 -20.29 2196 0.933135683820807 113.901899690311 0.888816282029538 "2"
"GIK23415-9" 53.18 -19.15 2472 0.61 113.486258703072 0.386258703071675 "2"
"GIK23418-8" 52.55 -20.33 2841 0.61 113.613203408316 0.513203408316286 "2"
"ODP980" 55.49 -14.7 2168 0.35 113.357772659064 0.257772659063633 "2"
"ODP983" 60.4 -23.64 1984 1.08401050762634 114.100143091564 2.83787945127217 "2"
"V28-56" 68.033 -6.117 2941 1.06 115 0.0999999999999943 "2"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.491061844863722 "2"
"ODP1089" -40.94 9.89 4621 -0.468335169113592 114.264889774436 2.34232827067666 "2"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.72242661538462 "2"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.523066537467699 "2"
"CH69_K09" 41.75 -47.35 4100 0.492735849056604 114.086666666667 1.05999999999999 "2"
"EW9209-1JPC" 5.91 -44.2 4056 0.716346258090906 114.238157198953 2.42258992146598 "2"
"GEOB1028-5" -20.1 9.19 2209 0.632400005168 113.97058825 0.294117700000001 "2"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.6555556 "2"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.700000000000003 "2"
"GIK12392-1" 25.17 -16.85 2573 0.834780180038644 113.830813995838 0.57359635796044 "2"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.175591623864079 "2"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.962660431654683 "2"
"GeoB1034" -21.74 5.42 3772 0.16 113.266056896552 0.166056896551737 "2"
"GeoB1035" -21.59 5.03 4453 0 113.5787 0.478700000000003 "2"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.507327342256204 "2"
"GeoB1105" -1.67 -12.43 3225 0.522867620353241 114.53891523507 1.02388523424766 "2"
"GeoB1112" -5.78 -10.75 3125 0.63 113.149172357724 0.0491723577235774 "2"
"GeoB1117" -3.82 -14.9 3984 -0.043521270003934 113.996703503185 0.243622292993621 "2"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.645516666666651 "2"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.869034655532374 "2"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.699761600928056 "2"
"GeoB7920-2" 20.75 -18.58 2278 0.334966011267283 113.805653159977 1.39931059471351 "2"
"IODP-U1308" 49.88 -24.24 3883 0.546633392203085 114.168917683923 4.06846126834019 "2"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.812953732785554 113.979166666667 1.17083339999999 "2"
"MD95_2042" 37.799833 -10.1665 3146 0.520179856115107 114.152 2.78 "2"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.436363600000007 "2"
"ODP1063" 33.683333 -57.616667 4584 0.39939597315436 114.603333333333 1.48999999999998 "2"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.941140000000019 "2"
"ODP926" 3.72 -42.91 3598 -0.06 113.16683902133 0.066839021329983 "2"
"SU90-03" 40.05 -32 2475 1.02455438105802 114.084056850962 0.216927644230765 "2"
"SU90-11" 44.07 -40.02 3645 0.395867511109348 113.99308190709 1.23246943765282 "2"
"U1308" 49.87776 -24.23811 3871 0.655718232044199 114.022857142857 3.62000000000002 "2"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.0565216999999905 "2"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.411533461169711 "2"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.704247311827956 "2"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.47530754716982 "3"
"GIK23414-9" 53.54 -20.29 2196 0.899382926803913 113.901899690311 0.888816282029538 "3"
"GIK23415-9" 53.18 -19.15 2472 0.619158115007393 114.33588105802 0.300755290102401 "3"
"GIK23418-8" 52.55 -20.33 2841 0.61 113.613203408316 0.413203408316278 "3"
"ODP980" 55.49 -14.7 2168 0.35 113.357772659064 0.157772659063625 "3"
"ODP983" 60.4 -23.64 1984 1.07794780489133 114.100143091564 2.73787945127216 "3"
"V28-56" 68.033 -6.117 2941 1.06 115 0.200000000000003 "3"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.591061844863731 "3"
"ODP1089" -40.94 9.89 4621 -0.47372612464022 114.264889774436 2.44232827067667 "3"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.822426615384629 "3"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.623066537467707 "3"
"CH69_K09" 41.75 -47.35 4100 0.514000000000001 114.575 1.25 "3"
"EW9209-1JPC" 5.91 -44.2 4056 0.696670200009991 114.238157198953 2.52258992146599 "3"
"GEOB1028-5" -20.1 9.19 2209 0.63 114.8235294 0.376470600000005 "3"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.755555600000008 "3"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.599999999999994 "3"
"GIK12392-1" 25.17 -16.85 2573 0.84 114.544015816857 0.65598418314255 "3"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.275591623864088 "3"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.862660431654675 "3"
"GeoB1034" -21.74 5.42 3772 0.16 113.266056896552 0.0660568965517285 "3"
"GeoB1035" -21.59 5.03 4453 0 113.5787 0.378699999999995 "3"
"GeoB1041" -3.48 -7.6 4033 0.36 115.113753758542 0.0862462414578573 "3"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.407327342256195 "3"
"GeoB1105" -1.67 -12.43 3225 0.513100900739056 114.53891523507 1.02388523424766 "3"
"GeoB1115" -3.56 -12.56 2945 0.85 115.169325752508 0.0306742474916319 "3"
"GeoB1117" -3.82 -14.9 3984 -0.08 114.874892356688 0.325107643312094 "3"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.74551666666666 "3"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.769034655532366 "3"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.799761600928065 "3"
"GeoB7920-2" 20.75 -18.58 2278 0.307296263635591 114.460501674829 1.40542544619863 "3"
"IODP-U1308" 49.88 -24.24 3883 0.552997664204441 114.281180891068 4.1438610145331 "3"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.793599997172364 114.40625 1.14583339999999 "3"
"MD95_2042" 37.799833 -10.1665 3146 0.523776978417266 114.152 2.78000000000002 "3"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.336363599999999 "3"
"ODP1063" 33.683333 -57.616667 4584 0.429385474860335 114.603333333333 1.79000000000001 "3"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.84114000000001 "3"
"SU90-03" 40.05 -32 2475 1.08 114.975593028846 0.22440697115384 "3"
"SU90-11" 44.07 -40.02 3645 0.396678890255515 113.99308190709 1.23246943765282 "3"
"U1308" 49.87776 -24.23811 3871 0.644540389972144 114.298571428571 3.59000000000002 "3"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.156521699999999 "3"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.311533461169702 "3"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.604247311827947 "3"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.575307547169814 "4"
"GIK23414-9" 53.54 -20.29 2196 0.865630169787023 113.901899690311 0.888816282029538 "4"
"GIK23415-9" 53.18 -19.15 2472 0.682332398636884 114.33588105802 0.300755290102401 "4"
"GIK23418-8" 52.55 -20.33 2841 0.61 113.613203408316 0.313203408316284 "4"
"ODP980" 55.49 -14.7 2168 0.35 113.357772659064 0.0577726590636303 "4"
"ODP983" 60.4 -23.64 1984 1.0714254372742 114.100143091564 2.63787945127217 "4"
"V28-56" 68.033 -6.117 2941 1.06 115 0.299999999999997 "4"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.691061844863725 "4"
"ODP1089" -40.94 9.89 4621 -0.477519654622456 114.264889774436 2.47210781954884 "4"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.922426615384623 "4"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.723066537467702 "4"
"CH69_K09" 41.75 -47.35 4100 0.539635036496349 114.575 1.37 "4"
"EW9209-1JPC" 5.91 -44.2 4056 0.674732881149595 114.238157198953 2.44408285340319 "4"
"GEOB1028-5" -20.1 9.19 2209 0.63 114.8235294 0.476470599999999 "4"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.855555600000002 "4"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.5 "4"
"GIK12392-1" 25.17 -16.85 2573 0.84 114.544015816857 0.755984183142544 "4"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.375591623864082 "4"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.76266043165468 "4"
"GeoB1035" -21.59 5.03 4453 0 113.5787 0.278700000000001 "4"
"GeoB1041" -3.48 -7.6 4033 0.36 115.113753758542 0.186246241457852 "4"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.307327342256201 "4"
"GeoB1105" -1.67 -12.43 3225 0.503334181124873 114.53891523507 1.02388523424766 "4"
"GeoB1115" -3.56 -12.56 2945 0.85 115.169325752508 0.130674247491626 "4"
"GeoB1117" -3.82 -14.9 3984 -0.08 114.874892356688 0.425107643312089 "4"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.845516666666654 "4"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.669034655532371 "4"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.899761600928059 "4"
"GeoB7920-2" 20.75 -18.58 2278 0.285555149556376 114.460501674829 1.50542544619863 "4"
"IODP-U1308" 49.88 -24.24 3883 0.559996063416349 114.281180891068 4.2438610145331 "4"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.770036362179703 114.40625 1.14583339999999 "4"
"MD95_2042" 37.799833 -10.1665 3146 0.522226277372263 114.333333333333 2.74000000000002 "4"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.236363600000004 "4"
"ODP1063" 33.683333 -57.616667 4584 0.454975609756096 114.603333333333 2.05 "4"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.741140000000016 "4"
"SU90-03" 40.05 -32 2475 1.08 114.975593028846 0.324406971153834 "4"
"SU90-11" 44.07 -40.02 3645 0.397490269401682 113.99308190709 1.23246943765282 "4"
"U1308" 49.87776 -24.23811 3871 0.635474254742547 114.298571428571 3.69000000000001 "4"
"V22-174" -10.07 -12.82 2630 0.53 115.249224193548 0.0507758064515968 "4"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.256521699999993 "4"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.211533461169708 "4"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.504247311827953 "4"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.675307547169822 "5"
"GIK23414-9" 53.54 -20.29 2196 0.85 114.457491549296 0.942508450704238 "5"
"GIK23415-9" 53.18 -19.15 2472 0.745506682266384 114.33588105802 0.300755290102401 "5"
"GIK23418-8" 52.55 -20.33 2841 0.606594892807323 114.498811360459 0.228784095713991 "5"
"ODP983" 60.4 -23.64 1984 1.06111772521396 114.100143091564 2.36803722541289 "5"
"V28-56" 68.033 -6.117 2941 1.06 115 0.400000000000006 "5"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.791061844863734 "5"
"ODP1089" -40.94 9.89 4621 -0.479101355686517 114.264889774436 2.37210781954883 "5"
