"Row.names" "dataset" "equation" "model" "type" "period" "lower" "reps" "run.no" "dep_4" "filename" "success.rate" "sigma" "N_mem" "A_mem" "a.AABW" "b.AABW" "c.AABW" "e.AABW" "a.NADW" "b.NADW" "c.NADW" "e.NADW"
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114 1 "1" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.566549856442919 0.749526503906614 -0.248282592241933 NA NA NA NA -2810.2884872556 1142.5210266479 -0.0394763034537318 -1581640.14156018
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.1 1 "2" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.509414151405064 0.769288579296665 -0.249445056371198 NA NA NA NA -0.502482633863198 -47.183676523966 0.0082610002902471 67093.7577796059
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.2 1 "3" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.2927959860663 0.759947149151263 -0.25124204154674 NA NA NA NA 5.78398029404721 14.5632551978254 -0.00381085901615603 -13454.6948892336
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.3 1 "4" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.250310488846066 0.757401990163863 -0.252506551540819 NA NA NA NA 0.0984837951721472 32.1382745828047 -0.0050365288259447 -51265.0274542575
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.4 1 "5" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.248183316657004 0.807591931015719 -0.253033785228839 NA NA NA NA -0.00557679330708227 0.717859754099517 -8.00294346175507e-05 -1609.24923582422
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.5 1 "6" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.153150180749601 0.823056542124227 -0.253599686718404 NA NA NA NA -0.013323467941231 0.00268602183703657 -2.90990492012326e-07 -6.10310681406021
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.6 1 "7" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.315130080955888 0.817017184370364 -0.252677069423274 NA NA NA NA 0.687444477577886 1.96710558791417 -0.000498912520911917 -1897.49441943962
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.7 1 "8" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.284558135242599 0.819580773126388 -0.251726394139358 NA NA NA NA -37.4475109059977 579.578082315131 -0.124211927881831 -674935.230755646
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.8 1 "9" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.27366523910152 0.822402161041495 -0.251100642296507 NA NA NA NA -0.00256407445214861 1.35455606667702 -0.000212608710715066 -2157.51041902566
"1" "LIG" "tanh" "UVic" "data" "Holocene" 114.9 1 "10" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.276557317241652 0.825479919774475 -0.249978494833426 NA NA NA NA 0.0098179278718214 1.24710586428116 -0.000276194822322173 -1407.77344244641
"1" "LIG" "tanh" "UVic" "data" "Holocene" 115 1 "11" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.255934049416285 0.831548889207928 -0.247142176741347 NA NA NA NA 0.326649523716726 28.4795593321513 -0.003553250019808 -57062.7578135221
"1" "LIG" "tanh" "UVic" "data" "Holocene" 115.1 1 "12" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.611264851362478 0.839477114402807 -0.244006116136912 NA NA NA NA -0.488236861654354 -0.347770640876402 0.000113479926256736 253.493550517177
"1" "LIG" "tanh" "UVic" "data" "Holocene" 115.2 1 "13" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.295221082542803 0.846956554933782 -0.239317855497044 NA NA NA NA -0.0134081695652815 0.639900399479522 -0.000121776287023641 -841.200186017203
