"Core" "Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
"CH73-139" 54.63 -16.35 2209 0.72 4 0.0469041575982343 "1"
"GIK23414-9" 53.54 -20.29 2196 1.1675 4 0.0655108133567784 "1"
"GIK23415-9" 53.18 -19.15 2472 1.09416666666667 12 0.116888317585115 "1"
"ODP982" 57.51 -15.85 1134 0.925 4 0.0932737905308881 "1"
"ODP983" 60.4 -23.64 1984 1.07222222222222 18 0.158728608769277 "1"
"V29-202" 61 -21 2658 1.09285714285714 14 0.136010665386583 "1"
"PS2498" -44.15 -14.23 3783 0.06 5 0.238117617995813 "1"
"EW9209-1JPC" 5.91 -44.2 4056 0.686 5 0.226340451532641 "1"
"GeoB1034" -21.74 5.42 3772 0.54 3 0.286181760425084 "1"
"GeoB1035" -21.59 5.03 4453 0.5825 4 0.296015202312314 "1"
"GeoB1041" -3.48 -7.6 4033 0.796 5 0.0912688336728371 "1"
"GeoB1101" 1.66 -10.98 4588 0.88 2 0.0707106781186548 "1"
"GeoB1117" -3.82 -14.9 3984 0.485 2 0.615182899632296 "1"
"GeoB1118" -3.56 -16.43 4675 0.27 3 0.458257569495584 "1"
"GeoB1211" -24.48 7.53 4084 0.426666666666667 3 0.156311654502578 "1"
"GIK16402" 14.42 -20.54 4202 0.684285714285714 7 0.188843598678655 "1"
"GIK16867" -2.2 5.1 3891 0.4025 4 0.286400069832394 "1"
"IODP-U1308" 49.88 -24.24 3883 0.925833333333333 12 0.1126102153717 "1"
"NO79-28" 45.63 -22.75 3625 0.6 3 0.147986485869487 "1"
"ODP1089" -40.94 9.89 4621 0.247 10 0.128586330706045 "1"
"ODP928" 5.46 -43.75 4012 0.99 2 0.212132034355964 "1"
"CH69_K09" 41.75 -47.35 4100 0.804666666666667 30 0.328735648259786 "1"
"GEOB4403-2" 6.13 -43.44 4503 0.61375 8 0.2264595517337 "1"
"U1308" 49.87776 -24.23811 3871 0.953333333333333 15 0.116476034731041 "1"
"GeoB1105" -1.67 -12.43 3225 1.022 5 0.0914877040918615 "1"
"GeoB1112" -5.78 -10.75 3125 0.952 5 0.0664830805543787 "1"
"GeoB1115" -3.56 -12.56 2945 0.885 2 0.0212132034355964 "1"
"GeoB1214" -24.69 7.24 3210 0.6425 4 0.0884590300647706 "1"
"GeoB1710" -23.43 11.7 2987 0.4825 4 0.202216880271323 "1"
"GeoB4216" 30.63 -12.4 2324 1.025 2 0.0353553390593274 "1"
"GIK12392-1" 25.17 -16.85 2573 1.01666666666667 9 0.0698212002188447 "1"
"GIK13519-1" 5.67 -19.85 2862 1.07 1 NA "1"
"GIK15612-2" 44.36 -26.54 3050 1.115 2 0.190918830920368 "1"
"GIK15669" 34.89 -7.82 2022 1.12333333333333 3 0.0305505046330388 "1"
"GIK16004" 29.98 -10.65 1512 1.17 1 NA "1"
"ODP1087" -31.46 15.31 1372 0.333333333333333 3 0.045092497528229 "1"
"ODP925" 4.2 -43.49 3040 1.23 1 NA "1"
"ODP926" 3.72 -42.91 3598 1.23 1 NA "1"
"RC13-228" -22.33 11.2 3204 0.546666666666667 3 0.181750745069541 "1"
"SU90-03" 40.05 -32 2475 1.29 3 0.0608276253029822 "1"
"V28-127" 11.65 -80.13 3237 0.774333333333333 3 0.0725695069111906 "1"
"GEOB1028-5" -20.1 9.19 2209 0.64 4 0.0941629792788369 "1"
"GEOB2109-1" -27.91 -45.88 2504 1.23 2 0.113137084989848 "1"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.657222222222222 18 0.380662047978574 "1"
"MD95_2042" 37.799833 -10.1665 3146 0.96875 8 0.206635462313985 "1"
"MD96-2080" -36.2667 19.475 2488 0.795 2 0.106066017177982 "1"
