"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
53.54 -20.29 2196 0.88 1 NA "1"
53.18 -19.15 2472 0.83 1 NA "1"
-40.94 9.89 4621 -0.0766666666666667 3 0.160416125540213 "1"
-21.59 5.03 4453 -0.03 1 NA "1"
1.66 -10.98 4588 0.78 1 NA "1"
-23.43 11.7 2987 0.37 1 NA "1"
29.98 -10.65 1512 0.85 1 NA "1"
49.88 -24.24 3883 0.87 3 0.0818535277187245 "1"
40.05 -32 2475 1.0548 2 0.021496046148071 "1"
41.75 -47.35 4100 0.585 2 0.176776695296637 "1"
-20.1 9.19 2209 0.25 1 NA "1"
-27.91 -45.88 2504 0.44 1 NA "1"
-1.34 -11.9733 3911 0.23 1 NA "1"
31.41415 -75.25807 3000 0.57 1 NA "1"
37.799833 -10.1665 3146 0.55 2 0.14142135623731 "1"
-36.2667 19.475 2488 0.49 1 NA "1"
33.683333 -57.616667 4584 0.363 1 NA "1"
49.87776 -24.23811 3871 0.711666666666667 6 0.227544867370518 "1"
-9.55 -34.25 3797 0.07 1 NA "1"
53.54 -20.29 2196 0.88 1 NA "2"
57.51 -15.85 1134 0.3 1 NA "2"
-40.94 9.89 4621 -0.07 2 0.226274169979695 "2"
-44.15 -14.23 3783 0.31 1 NA "2"
5.91 -44.2 4056 1.1 1 NA "2"
1.66 -10.98 4588 0.78 1 NA "2"
-23.43 11.7 2987 0.37 1 NA "2"
29.98 -10.65 1512 0.85 1 NA "2"
49.88 -24.24 3883 0.825 2 0.0353553390593273 "2"
-31.46 15.31 1372 0.23 1 NA "2"
40.05 -32 2475 1.0548 2 0.021496046148071 "2"
41.75 -47.35 4100 0.585 2 0.176776695296637 "2"
-20.1 9.19 2209 0.25 1 NA "2"
-27.91 -45.88 2504 0.44 1 NA "2"
-1.34 -11.9733 3911 0.23 1 NA "2"
31.41415 -75.25807 3000 0.57 1 NA "2"
37.799833 -10.1665 3146 0.55 2 0.14142135623731 "2"
-36.2667 19.475 2488 0.49 1 NA "2"
33.683333 -57.616667 4584 0.363 1 NA "2"
49.87776 -24.23811 3871 0.711666666666667 6 0.227544867370518 "2"
-9.55 -34.25 3797 0.07 1 NA "2"
56.16 -31.99 2295 0.9 1 NA "3"
53.54 -20.29 2196 0.88 1 NA "3"
57.51 -15.85 1134 0.3 1 NA "3"
-40.94 9.89 4621 -0.07 2 0.226274169979695 "3"
-44.15 -14.23 3783 0.31 1 NA "3"
5.91 -44.2 4056 1.1 1 NA "3"
1.66 -10.98 4588 0.78 1 NA "3"
-5.78 -10.75 3125 0.68 1 NA "3"
-23.43 11.7 2987 0.37 1 NA "3"
29.98 -10.65 1512 0.85 1 NA "3"
49.88 -24.24 3883 0.825 2 0.0353553390593273 "3"
-31.46 15.31 1372 0.23 1 NA "3"
-22.33 11.2 3204 0.51 1 NA "3"
40.05 -32 2475 1.0548 2 0.021496046148071 "3"
41.75 -47.35 4100 0.585 2 0.176776695296637 "3"
-20.1 9.19 2209 0.25 1 NA "3"
-27.91 -45.88 2504 0.44 1 NA "3"
-1.34 -11.9733 3911 0.23 1 NA "3"
31.41415 -75.25807 3000 0.73 2 0.226274169979695 "3"
37.799833 -10.1665 3146 0.55 2 0.14142135623731 "3"
-36.2667 19.475 2488 0.49 1 NA "3"
33.683333 -57.616667 4584 0.363 1 NA "3"
49.87776 -24.23811 3871 0.696 5 0.25075884829852 "3"
-9.55 -34.25 3797 0.07 1 NA "3"
56.16 -31.99 2295 0.9 1 NA "4"
53.54 -20.29 2196 0.88 1 NA "4"
57.51 -15.85 1134 0.3 1 NA "4"
61 -24 1650 -1.17 1 NA "4"
-40.94 9.89 4621 -0.07 2 0.226274169979695 "4"
-44.15 -14.23 3783 0.31 1 NA "4"
5.91 -44.2 4056 1.1 1 NA "4"
-3.48 -7.6 4033 0.71 1 NA "4"
1.66 -10.98 4588 0.78 1 NA "4"
-5.78 -10.75 3125 0.68 1 NA "4"
-23.43 11.7 2987 0.37 1 NA "4"
49.88 -24.24 3883 0.806666666666667 3 0.0404145188432738 "4"
-31.46 15.31 1372 0.23 1 NA "4"
-22.33 11.2 3204 0.51 1 NA "4"
40.05 -32 2475 1.0548 2 0.021496046148071 "4"
41.75 -47.35 4100 0.585 2 0.176776695296637 "4"
-27.91 -45.88 2504 0.44 1 NA "4"
-1.34 -11.9733 3911 0.23 1 NA "4"
31.41415 -75.25807 3000 0.89 1 NA "4"
37.799833 -10.1665 3146 0.45 1 NA "4"
33.683333 -57.616667 4584 0.363 1 NA "4"
49.87776 -24.23811 3871 0.713333333333333 6 0.228268847341609 "4"
56.16 -31.99 2295 0.9 1 NA "5"
53.54 -20.29 2196 0.88 1 NA "5"
57.51 -15.85 1134 0.3 1 NA "5"
61 -24 1650 -1.17 1 NA "5"
-40.94 9.89 4621 -0.266666666666667 3 0.376342043005207 "5"
-44.15 -14.23 3783 0.31 1 NA "5"
5.91 -44.2 4056 1.1 1 NA "5"
-3.48 -7.6 4033 0.71 1 NA "5"
1.66 -10.98 4588 0.78 1 NA "5"
-5.78 -10.75 3125 0.68 1 NA "5"
-23.43 11.7 2987 0.37 1 NA "5"
49.88 -24.24 3883 0.806666666666667 3 0.0404145188432738 "5"
-31.46 15.31 1372 0.23 1 NA "5"
-22.33 11.2 3204 0.51 1 NA "5"
40.05 -32 2475 1.0548 2 0.021496046148071 "5"
41.75 -47.35 4100 0.585 2 0.176776695296637 "5"
-27.91 -45.88 2504 0.44 1 NA "5"
-1.34 -11.9733 3911 0.23 1 NA "5"
31.41415 -75.25807 3000 0.89 1 NA "5"
37.799833 -10.1665 3146 0.345 2 0.148492424049175 "5"
33.683333 -57.616667 4584 0.363 1 NA "5"
49.87776 -24.23811 3871 0.692 5 0.248435102189687 "5"
56.16 -31.99 2295 0.9 1 NA "6"
53.54 -20.29 2196 0.88 1 NA "6"
57.51 -15.85 1134 0.3 1 NA "6"
61 -24 1650 -1.17 1 NA "6"
-40.94 9.89 4621 -0.445 2 0.304055915910215 "6"
-44.15 -14.23 3783 0.31 1 NA "6"
5.91 -44.2 4056 1.1 1 NA "6"
-3.48 -7.6 4033 0.71 1 NA "6"
1.66 -10.98 4588 0.78 1 NA "6"
-5.78 -10.75 3125 0.68 1 NA "6"
49.88 -24.24 3883 0.785 2 0.0212132034355964 "6"
-31.46 15.31 1372 0.23 1 NA "6"
-22.33 11.2 3204 0.51 1 NA "6"
40.05 -32 2475 0.9698 2 0.0987121066536421 "6"
41.75 -47.35 4100 0.585 2 0.176776695296637 "6"
-27.91 -45.88 2504 0.44 1 NA "6"
-1.34 -11.9733 3911 0.23 1 NA "6"
31.41415 -75.25807 3000 0.89 1 NA "6"
