"Lat" "Lon" "Ocean_depth" "d13C" "weights" "run.no"
52.55 -20.33 2841 1.08 4.3 "1"
52.55 -20.33 2841 1.05 4.3 "1"
53.18 -19.15 2472 0.94 4.3 "1"
53.18 -19.15 2472 1.08 4.3 "1"
53.54 -20.29 2196 1.20333333333333 4.3 "1"
53.54 -20.29 2196 1.19666666666667 4.3 "1"
54.25 -16.83 2393 0.9725 4.3 "1"
54.25 -16.83 2393 0.975 4.3 "1"
54.63 -16.35 2209 0.732 4.3 "1"
54.63 -16.35 2209 0.718 4.3 "1"
54.96 -19.76 1487 1.27 4.3 "1"
54.96 -19.76 1487 1.29 4.3 "1"
55.48 -14.68 2161 1.21 4.3 "1"
55.48 -14.68 2161 1.07 4.3 "1"
56.16 -31.99 2295 1.04 4.3 "1"
57.51 -15.85 1134 0.89 4.3 "1"
57.51 -15.85 1134 0.84 4.3 "1"
60.4 -23.64 1984 1.2 4.3 "1"
60.4 -23.64 1984 1.245 4.3 "1"
61 -24 1650 1.17 4.3 "1"
61 -24 1650 1.06 4.3 "1"
-44.15 -14.23 3783 0.31 0.7 "1"
-44.15 -14.23 3783 0.13 0.7 "1"
-44.07 -14.21 3770 0.065 0.7 "1"
-44.07 -14.21 3770 -0.305 0.7 "1"
-43.22 11.74 4610 0.03 0.7 "1"
-43.22 11.74 4610 0.1 0.7 "1"
-42.91 8.9 3702 0.25 0.7 "1"
-42.91 8.9 3702 0.3 0.7 "1"
-40.94 9.89 4621 0.27 0.7 "1"
-40.94 9.89 4621 0.15 0.7 "1"
-25.5 11.3 4194 0.338 3.5 "1"
-25.5 11.3 4194 0.412 3.5 "1"
-24.69 7.24 3210 0.6825 3.5 "1"
-24.69 7.24 3210 0.685 3.5 "1"
-24.48 7.53 4084 0.301666666666667 3.5 "1"
-24.48 7.53 4084 0.343333333333333 3.5 "1"
-22.33 11.2 3204 0.75 3.5 "1"
-22.33 11.2 3204 0.633333333333333 3.5 "1"
-21.74 5.42 3772 0.73 3.5 "1"
-21.74 5.42 3772 0.84 3.5 "1"
-3.82 -14.9 3984 0.92 5 "1"
-3.56 -16.43 4675 -0.23 5 "1"
-3.56 -16.43 4675 -0.08 5 "1"
-3.48 -7.6 4033 0.86 3.5 "1"
-3.48 -7.6 4033 0.87 3.5 "1"
-2.2 5.1 3891 0.24 3.5 "1"
-2.2 5.1 3891 0.535 3.5 "1"
-1.67 -12.43 3225 0.925 3.5 "1"
-1.67 -12.43 3225 0.9 3.5 "1"
1.37 -33.48 3824 0.95 4.9 "1"
1.37 -33.48 3824 0.923333333333333 4.9 "1"
1.66 -10.98 4588 0.945 4.3 "1"
1.66 -10.98 4588 0.94 4.3 "1"
2.46 -19.76 5105 0.763888888888889 4.3 "1"
2.46 -19.76 5105 0.723333333333333 4.3 "1"
2.47 -19.73 4998 0.88 4.3 "1"
2.47 -19.73 4998 0.89 4.3 "1"
3.09 -20.02 4745 0.776 4.3 "1"
3.09 -20.02 4745 0.744 4.3 "1"
4.23 -20.63 3792 0.81 4.3 "1"
4.23 -20.63 3792 0.82 4.3 "1"
4.56 -43.38 3547 0.913333333333333 4.9 "1"
4.56 -43.38 3547 0.855833333333333 4.9 "1"
4.79 -43.04 4341 0.556666666666667 4.9 "1"
4.79 -43.04 4341 0.66 4.9 "1"
4.95 -42.89 4556 0.241111111111111 4.9 "1"
4.95 -42.89 4556 0.311666666666667 4.9 "1"
5.46 -43.75 4012 1.14 4.9 "1"
5.91 -44.2 4056 0.69 4.9 "1"
5.91 -44.2 4056 0.77 4.9 "1"
6.13 -43.44 4503 0.7 4.9 "1"
6.13 -43.44 4503 0.9 4.9 "1"
6.64 -21.9 3527 0.812 4.3 "1"
6.64 -21.9 3527 0.808 4.3 "1"
11.65 -80.13 3237 0.7872 4.9 "1"
11.65 -80.13 3237 0.829 4.9 "1"
12.44 -18.06 3223 0.98 4.3 "1"
12.44 -18.06 3223 0.74 4.3 "1"
14.42 -20.54 4202 0.765 4.3 "1"
14.42 -20.54 4202 0.7625 4.3 "1"
33.69 -57.63 4583 0.4475 4.9 "1"
33.69 -57.63 4583 0.725 4.9 "1"
36.05 -72.38 3942 1.095 4.9 "1"
36.05 -72.38 3942 1.0675 4.9 "1"
38.24 -10.39 4602 0.791666666666667 4.3 "1"
38.24 -10.39 4602 0.763333333333333 4.3 "1"
41.72 -32.85 3427 0.9 4.3 "1"
41.72 -32.85 3427 0.85 4.3 "1"
41.75 -47.35 4100 0.77 4.9 "1"
41.75 -47.35 4100 0.26 4.9 "1"
49.87776 -24.23811 3871 1.02 4.3 "1"
49.87776 -24.23811 3871 0.69 4.3 "1"
49.88 -24.24 3883 0.82 4.3 "1"
49.88 -24.24 3883 0.92 4.3 "1"
-36.2667 19.475 2488 0.882 3.5 "1"
-36.2667 19.475 2488 0.87 3.5 "1"
-31.46 15.31 1372 0.38 3.5 "1"
-31.46 15.31 1372 0.363333333333333 3.5 "1"
-27.7 -46.52 1567 1.115 5 "1"
-27.7 -46.52 1567 1.09 5 "1"
-27.51 -46.47 1268 1.077 5 "1"
-27.51 -46.47 1268 1.129 5 "1"
-26.95 -44.67 2069 1.282 5 "1"
-26.95 -44.67 2069 1.28925 5 "1"
-26.7 -43.33 2438 1.319 5 "1"
-26.7 -43.33 2438 1.337 5 "1"
-23.43 11.7 2987 0.75 3.5 "1"
-23.43 11.7 2987 0.623333333333333 3.5 "1"
-22.92 6.04 2505 0.872 3.5 "1"
-22.92 6.04 2505 0.894 3.5 "1"
-20.1 9.19 2209 0.54 3.5 "1"
-20.1 9.19 2209 0.625 3.5 "1"
