"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
56.16 -31.99 2295 0.9 1 NA "1"
53.54 -20.29 2196 0.88 1 NA "1"
53.18 -19.15 2472 0.8 1 NA "1"
57.51 -15.85 1134 0.3 1 NA "1"
60.4 -23.64 1984 0.91 1 NA "1"
61 -24 1650 -1.17 1 NA "1"
61 -21 2658 0.93 1 NA "1"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "1"
-44.15 -14.23 3783 0.31 1 NA "1"
-3.48 -7.6 4033 0.71 1 NA "1"
1.66 -10.98 4588 0.78 1 NA "1"
-5.78 -10.75 3125 0.68 1 NA "1"
-3.56 -16.43 4675 0.03 1 NA "1"
-23.43 11.7 2987 0.39 1 NA "1"
30.63 -12.4 2324 0.72 1 NA "1"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "1"
5.67 -19.85 2862 0.84 1 NA "1"
49.88 -24.24 3883 0.594 5 0.224899977767896 "1"
-31.46 15.31 1372 0.23 1 NA "1"
-22.33 11.2 3204 0.51 1 NA "1"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "1"
44.07 -40.02 3645 0.94 1 NA "1"
41.75 -47.35 4100 0.386 5 0.272635287517959 "1"
-20.1 9.19 2209 0.45 1 NA "1"
-27.91 -45.88 2504 0.44 1 NA "1"
-29.51 -8.31 4546 0.14 1 NA "1"
6.13 -43.44 4503 -0.34 1 NA "1"
-1.34 -11.9733 3911 0.23 1 NA "1"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "1"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "1"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "1"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "1"
56.16 -31.99 2295 0.9 1 NA "2"
53.54 -20.29 2196 0.88 1 NA "2"
53.18 -19.15 2472 0.8 1 NA "2"
57.51 -15.85 1134 0.3 1 NA "2"
60.4 -23.64 1984 0.91 1 NA "2"
61 -24 1650 -1.17 1 NA "2"
61 -21 2658 0.93 1 NA "2"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "2"
-44.15 -14.23 3783 0.31 1 NA "2"
5.91 -44.2 4056 1.1 1 NA "2"
1.66 -10.98 4588 0.78 1 NA "2"
-5.78 -10.75 3125 0.68 1 NA "2"
-3.56 -16.43 4675 0.03 1 NA "2"
-23.43 11.7 2987 0.39 1 NA "2"
30.63 -12.4 2324 0.72 1 NA "2"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "2"
5.67 -19.85 2862 0.84 1 NA "2"
49.88 -24.24 3883 0.594 5 0.224899977767896 "2"
-31.46 15.31 1372 0.23 1 NA "2"
-22.33 11.2 3204 0.51 1 NA "2"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "2"
44.07 -40.02 3645 0.94 1 NA "2"
41.75 -47.35 4100 0.386 5 0.272635287517959 "2"
-20.1 9.19 2209 0.45 1 NA "2"
-27.91 -45.88 2504 0.44 1 NA "2"
-29.51 -8.31 4546 0.14 1 NA "2"
6.13 -43.44 4503 -0.34 1 NA "2"
-1.34 -11.9733 3911 0.23 1 NA "2"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "2"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "2"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "2"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "2"
56.16 -31.99 2295 0.9 1 NA "3"
53.54 -20.29 2196 0.88 1 NA "3"
53.18 -19.15 2472 0.8 1 NA "3"
57.51 -15.85 1134 0.3 1 NA "3"
60.4 -23.64 1984 0.91 1 NA "3"
61 -24 1650 -1.17 1 NA "3"
61 -21 2658 0.93 1 NA "3"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "3"
-44.15 -14.23 3783 0.31 1 NA "3"
5.91 -44.2 4056 1.1 1 NA "3"
-3.48 -7.6 4033 0.71 1 NA "3"
-5.78 -10.75 3125 0.68 1 NA "3"
-3.56 -16.43 4675 0.03 1 NA "3"
-23.43 11.7 2987 0.39 1 NA "3"
30.63 -12.4 2324 0.72 1 NA "3"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "3"
5.67 -19.85 2862 0.84 1 NA "3"
49.88 -24.24 3883 0.594 5 0.224899977767896 "3"
-31.46 15.31 1372 0.23 1 NA "3"
-22.33 11.2 3204 0.51 1 NA "3"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "3"
44.07 -40.02 3645 0.94 1 NA "3"
41.75 -47.35 4100 0.386 5 0.272635287517959 "3"
-20.1 9.19 2209 0.45 1 NA "3"
-27.91 -45.88 2504 0.44 1 NA "3"
-29.51 -8.31 4546 0.14 1 NA "3"
6.13 -43.44 4503 -0.34 1 NA "3"
-1.34 -11.9733 3911 0.23 1 NA "3"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "3"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "3"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "3"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "3"
56.16 -31.99 2295 0.9 1 NA "4"
53.54 -20.29 2196 0.88 1 NA "4"
53.18 -19.15 2472 0.8 1 NA "4"
57.51 -15.85 1134 0.3 1 NA "4"
60.4 -23.64 1984 0.91 1 NA "4"
61 -24 1650 -1.17 1 NA "4"
61 -21 2658 0.93 1 NA "4"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "4"
-44.15 -14.23 3783 0.31 1 NA "4"
5.91 -44.2 4056 1.1 1 NA "4"
-3.48 -7.6 4033 0.71 1 NA "4"
1.66 -10.98 4588 0.78 1 NA "4"
-3.56 -16.43 4675 0.03 1 NA "4"
-23.43 11.7 2987 0.39 1 NA "4"
30.63 -12.4 2324 0.72 1 NA "4"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "4"
5.67 -19.85 2862 0.84 1 NA "4"
49.88 -24.24 3883 0.594 5 0.224899977767896 "4"
-31.46 15.31 1372 0.23 1 NA "4"
-22.33 11.2 3204 0.51 1 NA "4"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "4"
44.07 -40.02 3645 0.94 1 NA "4"
41.75 -47.35 4100 0.386 5 0.272635287517959 "4"
-20.1 9.19 2209 0.45 1 NA "4"
-27.91 -45.88 2504 0.44 1 NA "4"
-29.51 -8.31 4546 0.14 1 NA "4"
6.13 -43.44 4503 -0.34 1 NA "4"
-1.34 -11.9733 3911 0.23 1 NA "4"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "4"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "4"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "4"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "4"
56.16 -31.99 2295 0.9 1 NA "5"
53.54 -20.29 2196 0.88 1 NA "5"
53.18 -19.15 2472 0.8 1 NA "5"
57.51 -15.85 1134 0.3 1 NA "5"
60.4 -23.64 1984 0.91 1 NA "5"
61 -24 1650 -1.17 1 NA "5"
61 -21 2658 0.93 1 NA "5"
