"Core" "Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
"CH73-139" 54.63 -16.35 2209 0.72 4 0.0469041575982343 "1"
"DSDP552" 56.04 -23.22 2311 1.29 1 NA "1"
"GIK17051" 56.16 -31.99 2295 0.883 10 0.183366663636914 "1"
"GIK23414-9" 53.54 -20.29 2196 1.1675 4 0.0655108133567784 "1"
"GIK23415-9" 53.18 -19.15 2472 1.09416666666667 12 0.116888317585115 "1"
"GIK23418-8" 52.55 -20.33 2841 1.05375 8 0.0767067700495111 "1"
"GIK23419" 54.96 -19.76 1487 1.274 10 0.0416866618689693 "1"
"GIK23519" 64.8 -29.6 1893 1.05166666666667 12 0.152960680231783 "1"
"NA87-22" 55.48 -14.68 2161 1.1325 8 0.0766718424753927 "1"
"ODP980" 55.49 -14.7 2168 0.989047619047619 21 0.144391992918747 "1"
"ODP982" 57.51 -15.85 1134 0.925 4 0.0932737905308881 "1"
"ODP983" 60.4 -23.64 1984 1.07222222222222 18 0.158728608769277 "1"
"V23-81" 54.25 -16.83 2393 1.0125 4 0.0718215380880509 "1"
"V28-14" 64.78 -29.57 1855 0.8 2 0.155563491861041 "1"
"V29-202" 61 -21 2658 1.09285714285714 14 0.136010665386583 "1"
"MD07-3076" -44.07 -14.21 3770 -0.0864705882352941 17 0.180933039287694 "1"
"PS2082" -43.22 11.74 4610 -0.02 3 0.288270706107991 "1"
"PS2498" -44.15 -14.23 3783 0.06 5 0.238117617995813 "1"
"EN066-21" 4.23 -20.63 3792 0.83 1 NA "1"
"EN066-26" 3.09 -20.02 4745 0.68 2 0.226274169979695 "1"
"EN066-29" 2.46 -19.76 5105 0.723333333333333 3 0.210792156716832 "1"
"EN066-32" 2.47 -19.73 4998 0.89 3 0.0264575131106459 "1"
"EN066-36" 4.31 -20.21 4095 0.615 2 0.0212132034355964 "1"
"EW9209-1JPC" 5.91 -44.2 4056 0.686 5 0.226340451532641 "1"
"GeoB1034" -21.74 5.42 3772 0.54 3 0.286181760425084 "1"
"GeoB1035" -21.59 5.03 4453 0.5825 4 0.296015202312314 "1"
"GeoB1041" -3.48 -7.6 4033 0.796 5 0.0912688336728371 "1"
"GeoB1101" 1.66 -10.98 4588 0.88 2 0.0707106781186548 "1"
"GeoB1117" -3.82 -14.9 3984 0.485 2 0.615182899632296 "1"
"GeoB1118" -3.56 -16.43 4675 0.27 3 0.458257569495584 "1"
"GeoB1211" -24.48 7.53 4084 0.426666666666667 3 0.156311654502578 "1"
"GIK16402" 14.42 -20.54 4202 0.684285714285714 7 0.188843598678655 "1"
"GIK16867" -2.2 5.1 3891 0.4025 4 0.286400069832394 "1"
"IODP-U1308" 49.88 -24.24 3883 0.925833333333333 12 0.1126102153717 "1"
"KNR110-50" 4.87 -43.21 3995 0.524 5 0.455060435546752 "1"
"KNR110-55" 4.95 -42.89 4556 0.281428571428571 7 0.405356985525457 "1"
"KNR110-58" 4.79 -43.04 4341 0.738 5 0.269295376863399 "1"
"KNR110-91" 4.76 -43.31 3810 0.84 2 0.0282842712474619 "1"
"KNR31-GPC5" 33.69 -57.63 4583 0.617142857142857 35 0.36242298515418 "1"
"MD03-2698" 38.24 -10.39 4602 0.735 2 0.120208152801713 "1"
"NO79-28" 45.63 -22.75 3625 0.6 3 0.147986485869487 "1"
"ODP1089" -40.94 9.89 4621 0.247 10 0.128586330706045 "1"
"ODP1090_TTN057-6" -42.91 8.9 3702 0.122 5 0.195371441106422 "1"
"ODP928" 5.46 -43.75 4012 0.99 2 0.212132034355964 "1"
"ODP929" 5.98 -43.74 4369 0.54 2 0.14142135623731 "1"
"RC13-229" -25.5 11.3 4194 0.297857142857143 7 0.118028850387562 "1"
"V25-59" 1.37 -33.48 3824 0.89 3 0.0529150262212918 "1"
"V26-176" 36.05 -72.38 3942 0.959 10 0.276383389113343 "1"
"CH69_K09" 41.75 -47.35 4100 0.804666666666667 30 0.328735648259786 "1"
"GEOB4403-2" 6.13 -43.44 4503 0.61375 8 0.2264595517337 "1"
"U1308" 49.87776 -24.23811 3871 0.953333333333333 15 0.116476034731041 "1"
"BT4" -4 10 1000 0.33 1 NA "1"
"CHN82-24" 41.72 -32.85 3427 1.09 5 0.187082869338697 "1"
"EN066-10" 6.64 -21.9 3527 0.823333333333333 3 0.0251661147842358 "1"
"EN066-16" 5.45 -21.14 3160 0.833333333333333 3 0.229419557434264 "1"
"EN066-38" 4.92 -20.5 2937 1.11 3 0.13 "1"
"EN066-44" 5.26 -21.71 3423 1.045 2 0.148492424049175 "1"
"GeoB1032" -22.92 6.04 2505 0.903333333333333 3 0.055075705472861 "1"
"GeoB1105" -1.67 -12.43 3225 1.022 5 0.0914877040918615 "1"
"GeoB1112" -5.78 -10.75 3125 0.952 5 0.0664830805543787 "1"
"GeoB1115" -3.56 -12.56 2945 0.885 2 0.0212132034355964 "1"
"GeoB1214" -24.69 7.24 3210 0.6425 4 0.0884590300647706 "1"
"GeoB1710" -23.43 11.7 2987 0.4825 4 0.202216880271323 "1"
