"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
54.63 -16.35 2209 0.91 1 NA "1"
53.54 -20.29 2196 1.065 2 0.0919238815542511 "1"
53.18 -19.15 2472 1.01666666666667 3 0.0351188458428425 "1"
57.51 -15.85 1134 0.49 1 NA "1"
60.4 -23.64 1984 0.774285714285714 7 0.171061114113947 "1"
61 -21 2658 0.7825 4 0.245407823836161 "1"
-44.15 -14.23 3783 0.365 2 0.148492424049175 "1"
5.91 -44.2 4056 0.863333333333333 3 0.126622799421484 "1"
-21.59 5.03 4453 0.15 1 NA "1"
-3.48 -7.6 4033 0.665 2 0.0919238815542512 "1"
1.66 -10.98 4588 0.69 1 NA "1"
-3.82 -14.9 3984 0.68 2 0.0848528137423857 "1"
-3.56 -16.43 4675 0.33 1 NA "1"
-24.48 7.53 4084 0.39 1 NA "1"
14.42 -20.54 4202 0.89 1 NA "1"
-40.94 9.89 4621 -0.0857142857142857 7 0.118582902485581 "1"
5.46 -43.75 4012 0.115 2 0.106066017177982 "1"
41.75 -47.35 4100 0.606153846153846 13 0.152563563886142 "1"
-29.51 -8.31 4546 0.365 2 0.0212132034355964 "1"
6.13 -43.44 4503 0.74 1 NA "1"
-1.34 -11.9733 3911 0.546666666666667 3 0.237135685491099 "1"
33.683333 -57.616667 4584 0.42225 4 0.663331176713412 "1"
-21.74 5.42 3772 0.51 1 NA "1"
-1.67 -12.43 3225 0.73 2 0.0565685424949239 "1"
-5.78 -10.75 3125 0.88 1 NA "1"
-3.56 -12.56 2945 0.8 2 0.14142135623731 "1"
-24.69 7.24 3210 0.42 1 NA "1"
-23.43 11.7 2987 0.33 2 0.183847763108502 "1"
30.63 -12.4 2324 0.765 2 0.106066017177982 "1"
25.17 -16.85 2573 0.834 5 0.0931665175908169 "1"
5.67 -19.85 2862 0.93 1 NA "1"
44.36 -26.54 3050 1 1 NA "1"
34.89 -7.82 2022 1.01 1 NA "1"
29.98 -10.65 1512 0.94 1 NA "1"
-2.2 5.1 3891 0.73 1 NA "1"
49.88 -24.24 3883 0.8475 16 0.0905906544112949 "1"
45.63 -22.75 3625 0.67 1 NA "1"
-31.46 15.31 1372 0.166666666666667 3 0.0808290376865476 "1"
0.11 -23.23 3806 0.94 1 NA "1"
4.2 -43.49 3040 0.45 1 NA "1"
3.72 -42.91 3598 0.55 1 NA "1"
-22.33 11.2 3204 0.45 3 0.0264575131106459 "1"
40.05 -32 2475 0.95125 8 0.0633442972965996 "1"
44.07 -40.02 3645 1.06 2 0.014142135623731 "1"
-10.07 -12.82 2630 0.83 2 0.197989898732233 "1"
11.65 -80.13 3237 0.7035 2 0.00212132034355957 "1"
-20.1 9.19 2209 0.585 2 0.0777817459305202 "1"
-27.91 -45.88 2504 0.67 2 0.240416305603426 "1"
31.41415 -75.25807 3000 0.598 5 0.202286924935845 "1"
37.799833 -10.1665 3146 0.74875 8 0.097897541191945 "1"
-36.2667 19.475 2488 0.61 2 0.0565685424949239 "1"
49.87776 -24.23811 3871 0.847391304347826 23 0.104890305960966 "1"
-9.55 -34.25 3797 0.185 2 0.134350288425444 "1"
